"","X1","X1_1","text","positivo","negativo"
"20",20,82,"bellos material genial detalles tal ven fotos u si recomiendo producto",1,0
"21",21,86,"compre negro quedo chico pedir talla ma u si recomiendo producto",1,0
"22",22,93,"lindos calce perfecto comodos u si recomiendo producto",0,0
"23",23,100,"mui comodo fresco tan pitillo da mayor comodidad u si recomiendo producto",1,0
"24",24,105,"lindo comodo igual foto talla normal doblado abajo puede sacar entonces queda ma largo puede usar dos formas",1,0
"25",25,106,"rajo primer dia use rodillas abrio tooodo",0,1
"26",26,111,"lindo calce modelo buen producto cintura u si recomiendo producto",1,0
"27",27,112,"yeans bonitos quedan bien comodos buen precio u si recomiendo producto",1,0
"28",28,120,"gustaron aunque mom ma bien pitillo uso talla compre blancos gruesos transparentan bueno elasticados tiro alto u si recomiendo producto",1,0
"29",29,124,"encontre estilo mom compre blanco talla compre quedara holgado quedo demasiado grande quedo chico asi cambiarlos modelo buena eleccion",0,1
"30",30,130,"talla compre talla azul quedaron super similar have chica fotos tiro alto cubren apenas ombligo si estilo tipo mom bonito calce llego dia esperado u si recomiendo producto",1,0
"31",31,131,"super comodo elasticado talla corresponde medias u si recomiendo producto",1,0
"32",32,136,"dos negro blanco blanco ma pequeno debi haber pedido talla ma queda jeans skinny bien bonitos buena calidad precio u si recomiendo producto",1,0
"33",33,139,"lindo calze comodo bien imposible sacar pelusas pegan demasiado",1,0
"34",34,143,"generalmente talla sybilla compre jeans talla quedo grande cintura unico malo demas bien u si recomiendo producto",1,0
"35",35,145,"tela ma bien gruesa super elasticada color negro recomendaria talla menos habitual u si recomiendo producto",1,0
"36",36,152,"rigidos ma invierno excelente calidad compre blanco negro u si recomiendo producto",1,0
"37",37,159,"encanto compre color azul queda lindo aunque tan estilo mom compre talla queda super bien tome cuenta comentarios super elasticados llegaron tiempo pronosticado super buen comprare blanco ahora",1,0
"38",38,169,"si ma largo seria perfecto ma jeans recto mom compre talla queda holgado",1,0
"39",39,172,"talla pedi misma talla color azul queda super bien creo despues tela dara si queda tan estilo mom tan sueltos piernas super lindos u si recomiendo producto",1,0
"40",40,179,"intente comprar semana pasada cancelaron intente vez ma hace dias vez si resulto jeans comodos tela elasticada fresca general uso talla asi talla pedi cintura quedaron ligeramente grandes piernas justos quedan mom jeans todas formas estan bien si piernas tan flaquitas caso consideraria comprar talla ma ajustar cinturon u si recomiendo producto",1,0
"41",41,182,"hermoso elasticado compre talla siempre quedaron super si quieres ma anchos usa talla ma u si recomiendo producto",1,0
"42",42,186,"compre jeans color azul talla corresponde segun tabla quedan bien material bueno color tal imagen buen regalo navideno compre mucha anticipacion encontre suerte tienda ma caro quede conforme u si recomiendo producto",1,0
"43",43,189,"general pantalon bonito tiro alto unico detalle ma bien ajustados cuerpo si buscas pantalon ma bien suelto sugiero pedir tallas ma pantalon queda foto queda ma ajustado aun",1,0
"44",44,190,"compre azul clarito tela elasticada comodos solo muslos anchos comprar talla ma tenia despacho enero llegaron hoy dic u si recomiendo producto",1,0
"45",45,191,"buena calidad comprarse talla menos super elasticados u si recomiendo producto",1,0
"46",46,192,"comodos lindos muslos anchos quedan mom bien elasticados u si recomiendo producto",1,0
"47",47,211,"lindos comodos color clarito compre talla recomiendo u si recomiendo producto",1,0
"48",48,216,"elasticados mom baratos compre azul negro u si recomiendo producto",1,0
"49",49,227,"comodo pedi talla habitual quedo bien aunque notum lavados ira estirando genial piernas queda justo bello despacho rapido pedi jueves llego hoy martes u si recomiendo producto",1,0
"50",50,228,"generamente talla comentarios habia comprarse talla ma lograr efecto mom jeans toda razon compre talla quedaron grandes cintura ajuste tutorial pinterest quedaron perfectos ame azules elasticados color igual foto negro tela ma dura atrapa pelusas u si recomiendo producto",1,0
"51",51,232,"encanto tela comodos u si recomiendo producto",1,0
"52",52,244,"compre azules leu medio ajustados solo piernas quedaron grandes lados gluteos solo ajustados piernas tendre ver ir cambiarlos ahora u si recomiendo producto",0,1
"53",53,247,"excelente calce tela horrible llena pelusas inmediato",0,1
"54",54,250,"encantaron si bien mom comodos tiro alto muuuuy elastica dos normalmente pedi quedaron grandes ahora pedi negro ver tal u si recomiendo producto",1,0
"55",55,253,"encanto tela espectacular quedan hermosos u si recomiendo producto",1,0
"56",56,258,"pantalon lindo compre color azul claro talla normal buena calidad u si recomiendo producto",1,0
"57",57,259,"lindo pantalon guie comentarios compre talla ma gran error quedo grande pantalon lindo buena calidad super elasticado compre azul u si recomiendo producto",1,0
"58",58,263,"compre negro ame talla calza perfecto quiero clarito si mismo tallaje leido q color cambia",1,0
"59",59,265,"compre talla siempre celeste negro quedaron perfectos tela gruesa comodos ahora quiero comprar blanco u si recomiendo producto",1,0
"60",60,266,"compre negro talla material ma grueso resto material hace pelusas adhieran facilidad notum ma minimo",0,1
"61",61,277,"tiro super alto comodo aunque queda mom queda lindo igual u si recomiendo producto",1,0
"62",62,282,"guie x comentarios talla sybilla compre quedaron perfectos bonitos u si recomiendo producto",1,0
"63",63,284,"verdad lindos incluso elasticados mom dicen quedan pantalones normales pitillos",1,0
"64",64,288,"jeans tiro alto guie comentarios compre talla menos quedaron ajustados piernas anchos jeans elasticado grueso tela aunque quedaron ma ajustados pensaba voy cambiar queda bonito calce",0,1
"65",65,291,"compre talla menos quedaron hermosos u si recomiendo producto",1,0
"66",66,298,"leu comentarios poder saber talla comprar reacia comprar talla menos pesar muchas recomendaban asi elegi talla suelo usar normalmente jeans azul quedo perfecto aconsejo comprar talla usan habituamente jeans tiro alto tapa ombligo sueltito abajo color tela precioso u si recomiendo producto",0,1
"67",67,301,"mom elasticado tiro alto material buena calidad menos azul talla quedo perfecto",1,0
"68",68,303,"buen jeans have totalmente mom jeans dejare medidas si alguna sirve estatura cadera cm cintura cm siempre sybilla compre vez leu comentarios habia comprar talla ma cintura quedado bien si cintura pequena recomiendo compres talla tipo strench tela elastica caida rectum tipica mom jeans lindo jeans hace bonota figura mom jeans u si recomiendo producto",1,0
"69",69,307,"pedir talla ma grande si quiered quede mom fit sino parece solo skinny jeans jajja",0,1
"70",70,311,"talla elegi talla comentarios leu mejor opcion queda casi estilo pitillo tela elasticada comoda queda lindo puesto verdad esperaba ma ancho ma largo mido quedo ma arriba tobillos u si recomiendo producto",1,0
"71",71,313,"super lindo compre azul talla siempre quedo ajustado arriba suelto abajo asi recomiendo si quieren quede suelto estilo mom compren dos talla ma normal u si recomiendo producto",1,0
"72",72,314,"guie comentarios pedir talla menos favorable caso cierra justo encontre tiro alto color hermoso u si recomiendo producto",1,0
"73",73,317,"hola skiny talla leido recomiendan comprar talla menos tinca talla pequena alguien skiny ayude diciendo si debo comorar mom graciss",0,1
"74",74,319,"jeans lindo normalmente talla pedi queda modelo ahora pedi quedara estilo skinny elasticado comodo u si recomiendo producto",1,0
"75",75,327,"compre negros tela atrapa pelusa have horrible recomiendo compra",0,1
"76",76,332,"talla quedo grande lleno motastodas pelusas pegan pantalon tampoco agrado calce jeans",0,1
"77",77,333,"alguien puede decir si color blanco transparenta si transparenta puede poner si si transparenta",1,0
"78",78,339,"jeans buena calidad gruesos strech unico malo vienen grandes asi si compran elijan talla menos acaban llegar pedi talla talla siempre quedaron bien cintura quedan sueltos comodos piernas queda holgado ser mom buena compra volveria comprar color azul u si recomiendo producto",1,0
"79",79,341,"traen modelo compre pantalon hace mes aproximadamente bajado peso estan quedando grandes compre talla ma normal ahora necesito talla real tienda online estan porfaaaaaaaaaaaaaaaa necesito massss bknes u si recomiendo producto",1,0
"80",80,342,"perfectos compre talla menos queda regio u si recomiendo producto",1,0
"81",81,343,"guie comentarios compre talla menos pedi pesar haber leido quedan mom jeans elasticados encantaron alto comodos color negro precioso guiense comentarios salvado varias u si recomiendo producto",1,0
"82",82,350,"mom rigidos elasticados entonces sueltan pedi talla normal quedaba grandes cambie tampoco gustaron quedan siguen sueltos",0,1
"83",83,352,"jeans tiro alto tela elasticada dura recordar tipo mom ende si quieres estilo pidan talla menos pedir talla siempre encantaron comodos u si recomiendo producto",1,0
"84",84,354,"buen calce generalmente ahora quedo perfecto u si recomiendo producto",1,0
"85",85,356,"bellos deberian traer ma tallas ma colores gustaria comprarlos u si recomiendo producto",1,0
"86",86,357,"lindo buen calce dicen demas comentarios ojala pedir talla menos menos color negro si ojo tela pega lamentablemente lindo jeans cualquier parte voy lavo llena peluzas",1,0
"87",87,359,"super comodos elasticados leu comentarios dicen pedir talla menos queda grande tipo pantalon asi pitillos pedi mom quedan super mom deben quedar talla cm cintura cm tiro cm caderas talla cm cintura cm cadera cm tiro espero sirva u si recomiendo producto",1,0
"88",88,366,"comodos compre talla menos regularmente compre quedaron super bien guante tela gruesa tampoco ma delgada termino medio color negro profundo foto mega recomiendo u si recomiendo producto",1,0
"89",89,371,"encantaron compre color negro hice caso comentarios compre talla menos quedaron super gustaron quedaran suelto estilo mom jeans si quieres queden ma apretados recomiendo tallas menos u si recomiendo producto",1,0
"90",90,375,"normalmente talla curvy hice caso comentarios compre talla quedo perfecto iba quedar grande cintura recomendacion talla menos usas normalmente",1,0
"91",91,380,"super elasticados buen calce normalmente talla compre quedo bueno recomiendo comprar talla menos usual u si recomiendo producto",1,0
"92",92,390,"chicas miren explico dicen escoger talla estilo mom queda apretado abajo aconsejo pidan talla menos ejemplo si pedir aunque parte abajo siga quedando ma suelto have bien asi estilo queda feo parte abdomen notum queda grande asique consideren si si recomiendo almenos talla menos deje guiar decian pidiera talla quedo raro abdomen color compre blanco u si recomiendo producto",0,1
"93",93,392,"dependiendo marca modelo voy talla cintura caderas aprox si bien queda bien tipo tela tambien habria venido asi parte si aconsejo talla menos modelo queda tipo mom jeans tampoco totalmente skinny diria punto medio u si recomiendo producto",1,0
"94",94,394,"cuidado pidan azul talla llega blanco lado lindo material buen fit mom ma ajustado",1,0
"95",95,395,"pedi azul tal sale foto tambien elasticado tiro alto recomiendo pidas talla normal u si recomiendo producto",1,0
"96",96,396,"compre numero talla creo igual vendria bien elasticados tiro alto tal foto parecer mom jeans igual lindos precio calidad bien u si recomiendo producto",1,0
"97",97,412,"leu varios comentarios recomendaban tallas menos si quieres quede mon compra talla normal dara buen calce talla mido preguntaban largo quedo justo uso cintura u si recomiendo producto",1,0
"98",98,415,"segui comentarios varias compre talla menos quedo perfecto calce bello encanto u si recomiendo producto",1,0
"99",99,417,"precio lindo compre azul talla quedo perfecto",1,0
"100",100,418,"lindos pedi talla quedan perfectos ma bien apretados recomendables u si recomiendo producto",1,0
"101",101,419,"compre talla habitual azul quedaron perfectos modelo holgado mom jeans ademas entrega rapida recomiendo u si recomiendo producto",1,0
"102",102,420,"malo calce pantalon usualmente compre quedo grande super sueltodefinitivamente mom jeans recomiendo si buscas mom fit",0,1
"103",103,421,"compre tonos compre talla quedaron grandes solo caderas quedo perfecto q elasticados blanco material azul mejor u si recomiendo producto",1,0
"104",104,422,"elasticado comprar talla normal jeans compre dos si moscas quedo grande panza agloba quedo bien mom acostumbramos ver epoca <U+00B4> ma ajustado piernas jeans recto lindo",1,0
"105",105,438,"buen calce comodos compre talla habitual u si recomiendo producto",1,0
"106",106,441,"pantalon bonito tela suave notum puede ceder algun momento talla pedi talla quedo bien si paso pedi color azul llego blanco asi gusto quedare pantalon super comodo u si recomiendo producto",1,0
"107",107,442,"compre talla negro azul poquito ma grandes q talla creo estan bien modelo recomendaria comprar talla menos porq mom jeans debe quedar holgado comodos tela denim u si recomiendo producto",1,0
"108",108,443,"talla ma grandenormalmente quedaron grandes ademas material gusto negro notum pegan pelusas pelos etc respecto color celeste mejor opinion notum adhieren pelusas",0,1
"109",109,451,"elegi azul talla llego color blanco pedir talla menos color quedo suelto tela gruesa suave unico bueno",0,1
"110",110,452,"compre color blanco tela suave trasluce compre talla comentarios quedo bien poquitito grande generalmente talla mom sueltos ma bien mom apretados ven super lindos puestos u si recomiendo producto",1,0
"111",111,454,"comodos pedi talla normal quedaron perfectos estilo mom sutil tiro alto ombligo voy negro u si recomiendo producto",1,0
"112",112,456,"lindos especiales buscamos mom solo mencionar dejen llevar comentarios guie tome talla equivocada uso talla pedi quejaban pequenos quedo talla ma grande u si recomiendo producto",1,0
"113",113,458,"comodo elasticado asi pedi talla quedo grande pedido elasticados quedan super bien u si recomiendo producto",1,0
"114",114,459,"compre talla general quedaron perfectos tan apretados sueltos gruesos elasticados excelente compra buena calidad precio u si recomiendo producto",1,0
"115",115,467,"tela ideal dias helados blanco trasluce aaauunque cuarentena p subi compre comentarios creo quedado perfecto recomendaria sip solo si gustan quedan bien tipo modelos mom u si recomiendo producto",1,0
"116",116,472,"problema comprar azul llegaron blancos parecer problema pagina buenos jeans compre talla menos quedan justos si quieres queden sueltitos mom debe ser misma talla u si recomiendo producto",0,1
"117",117,480,"tela gruesa suave comodos corte mom fit ma tradicional incluso angosto si buscan holgado prefieran talla ma grande definitiva marca u si recomiendo producto",1,0
"118",118,482,"compre quedo bien suelto apretado quizas notaria ma mom cintura quedado nadando tela elasticada quizas ma adelante quede ma suelto pueda lucir mejor u si recomiendo producto",1,0
"119",119,485,"talla asegure comprando quedo perfecta lindo calce mido quedan ombligo esperando vuelva stock celeste comprarlo u si recomiendo producto",1,0
"120",120,486,"encanto modelo estilo mom asi ma holgado talla asegure comprando quedo perfecto tela gruesa asi trasluce ropa interior doy u si recomiendo producto",1,0
"121",121,1237,"buen calce comodo tiro alto feliz compra",1,0
"122",122,1245,"tal ala foto elasticado talla pequena pedir talla ma si quieres quede tan ajustado",0,1
"123",123,1247,"tela moderadamente elasticada comoda malo skinny compre talla ma aun asi quedo ajustado muslos gemelos aun asi color muu lindo tal imagenes u si recomiendo producto",0,1
"124",124,1252,"compro celeste tal medidas die tabla comprar talla ma seria gran utilidad si contestaran gracias",0,1
"125",125,1255,"lindo material mala calidad rigido modelo gusto",0,1
"126",126,1259,"blanco transluce delgado comodo verano u si recomiendo producto",1,0
"127",127,1262,"compre talla quedo apretado elasticado comprare talla ma darian hacer cambio llame u si recomiendo producto",0,1
"128",128,1265,"normalmente talla jeans compre talla ma q sub siempre ma chicos comunmente quedaron super ancha caderas muslos quedaron ajustados bien elacticados negro tan oscuro compre negro azul precio q decir u si recomiendo producto",0,1
"129",129,1268,"compre negro talla quedo super bien modelo amy u si recomiendo producto",1,0
"130",130,1269,"encanto comodos talla perfecta compre uso siempre quedaron bien excelente compra entrega rapida u si recomiendo producto",1,0
"131",131,1271,"comodos habia comprado nunca marca encontre buscaba blanco rasgado tiro alto ademas llegaron fecha estipulada asi felizu u si recomiendo producto",1,0
"132",132,1278,"compre celeste negro ambos talla celeste quedo perfecto decir negro quedo ajustado corto tiro cambiar aparentemente telas distintas celeste ma docil elasticada cambio negro ma tiesa elasticada asi recomiendo si van comprar celeste compren talla corresponde negro dos tallas ma",1,0
"133",133,1285,"hace mes metiendome pagina viendo vuelven subir talla preciosos jeans favoritos u si recomiendo producto",1,0
"134",134,1288,"varios jeans marca modelo amy primera vez compro comentarios compre todas formas quedo ajustado tiro medio",1,0
"135",135,1295,"gusto pantalon unico problema tiro alto die si ma bien tiro medio ademas aprieta cintura escogi diseno color lindos llego semana u si recomiendo producto",1,0
"136",136,1296,"encanta diseno super comodo usar cierra bien compre talla quedo super u si recomiendo producto",1,0
"137",137,1298,"lindo adapta cuerpo si tiro alto sino ma bien tiro medio compre cintura cm quedo bien u si recomiendo producto",1,0
"138",138,1299,"compre dos celeste negro cunadas quedaron pequenos marca queda bien asi recomiendo pedir talla ma incluso dos u si recomiendo producto",1,0
"139",139,1306,"escogi negro tela buena calidad llego perfectas condiciones u si recomiendo producto",1,0
"140",140,1307,"compre segun tabla tallas perfecto ven bonitos u si recomiendo producto",1,0
"141",141,1309,"comodo delgado bastante abrigador negro imagenes azul oscuro negro u si recomiendo producto",1,0
"142",142,1313,"compre negros azul claro tal foto pedi talla ma quedaron perfectos u si recomiendo producto",1,0
"143",143,1317,"lindo tela elasticado aplasta trasero queda apretado asi recomienda pedir talla ma asi queda mejor",1,0
"144",144,1318,"compre jeans negro lindo horma pequena ma mes aun puedo cambiarlo",1,0
"145",145,1321,"leu comentarios compre talla ma quedan super bien ajustados gruesos encantaron comodos u si recomiendo producto",1,0
"146",146,1322,"queda perfecto pesar ser elasticado tela gruesa",1,0
"147",147,1331,"siempre compro pantalones marca sybilla embargo modelo particular amy ma pequeno compre quedo muuuy apretado recomiendo comprar talla ma si estan compren ma grande elasticado ajusta bien cuerpo color igual imagenes si u si recomiendo producto",0,1
"148",148,1337,"elasticado gusto color calce",1,0
"149",149,1429,"chile cuarentena pongan prendas despacho quiero pantalones puedo pedirlos",0,1
"150",150,1431,"compre celeste oscuro talla quedo bien volvi comprar color negro talla quedo chico jaja entiendo tallas",1,0
"151",151,1437,"calidad tela mala lleno notas primer uso ademas dio tallas peor compra vida",0,1
"152",152,1440,"jeans super comodos excelente calce tiro alto semi elasticados creo mom jeans tiro alto anchos ajuste normal quedan super bien tiro alto u si recomiendo producto",1,0
"153",153,1442,"talla correcta grande estilo mom asi novan quedar oversize van ver ma anchos ocupo talla quedaron jeans normales recto",0,1
"154",154,1450,"tremendo lantalon comodo gran calce quisiera colores stock u si recomiendo producto",1,0
"155",155,1461,"comodo favor repongan ma azules talla u si recomiendo producto",1,0
"156",156,1462,"jeans mom stretch tan ajustados ninguna parte die tela super gruesa invierno usualmente talla asi tabla tallas guie quedaron super queria asi igual fome producto",1,0
"157",157,1465,"hermoso coml queda mom repongan tallas azul favor u si recomiendo producto",1,0
"158",158,1468,"guie tabla comprar quedo regio arriba corto casi tobillo mido u si recomiendo producto",1,0
"159",159,1471,"compre color azul encanto calce lindo tela suave elasticado gusto compre negro siente igual tela ma rigida gruesa queda ma apretado igual quedo considerando precio estan buenos u si recomiendo producto",1,0
"160",160,1473,"acostumbro comprar talla pantalones marca sybilla calce juvenil ma grandes comun pedir talla menos acostumbrada quedaron gigantes",0,1
"161",161,1476,"normalmente compro talla calza perfecto quedo grande entra mano entera cintura",1,0
"162",162,1477,"queda lindo talla pedi quedo grande kjksjdkj tenia fecha entrega llego igual medio elasticado parecer u si recomiendo producto",1,0
"163",163,1478,"compre celeste negro celeste full elasticado comodo negro iman pelusas tela rigida fracaso",1,0
"164",164,1481,"calce perfecto demasiado comodos peguen pelusas guardo reves",1,0
"165",165,1482,"pantalones compre tienda pandemia podian probar ver talla queda mejor ser mom talla quedaron holgados preferi comprar encantaron quedan super bien aun uso agrandando azules ahora compre negro u si recomiendo producto",0,1
"166",166,1483,"encantan comodos sujetan bien rollito molesto talla compre talla negro tela ma dura color hija talla compre color azul quedaron super ajustaditos sueltos si quieren queden sueltos compren talla ma ojo compre tienda probarlos solo ojo u si recomiendo producto",1,0
"167",167,1485,"talla quiero mom jeans ajustados cuerpo pedi ocupo cinturon ven bastante bien sueltecitos debe quedar mom si quieren pegado cuerpo tipo skinny pescador pidan talla original u si recomiendo producto",1,0
"168",168,1486,"comodos buena calidad gruesos delgados compren talla normal si quieren queden full sueltos recomiendo talla ma ojo puede quede suelto cintura compre celeste bellos dieron ganas comprarme negros tambien recomendados u si recomiendo producto",1,0
"169",169,1496,"general tabla tallas suponia igual manera pedi quedara suelto cosa asi quedo justo suelto igual lindo llego esperado",1,0
"170",170,1498,"comodo elasticado quede mon deben comprar talla ma normalmente compre quedo super comodo suelto u si recomiendo producto",1,0
"171",171,1502,"compre celeste cobraron inmediatamente dos dias despues cancelan compra entiendo aceptan compras si stock u si recomiendo producto",0,1
"172",172,1508,"compre negro talla dependiendo marca quedo suelto solucionable correa honestamente encontre super lindo altas queda super corto considerarlo gran desventaja llena pelospelusas onda demasiado volveria comprar",1,0
"173",173,1510,"comodo buena hechura suelta horas uso precio bien u si recomiendo producto",1,0
"174",174,1511,"andaba buscando anchos tiro alto gruesos mejor bolsillos adelante atras u si recomiendo producto",1,0
"175",175,1512,"bonito modelo comprar talla ma u si recomiendo producto",1,0
"176",176,1514,"primera vez compro jeans tipo uso solo skinny recibi hoy lindo pedi quedo perfecto recomiendo pedir talla menos ser quieran super suelto u si recomiendo producto",1,0
"177",177,1520,"queda perfecto talla compre talla peroo pegan todas pelusas negro recomiendo",1,0
"178",178,1521,"mom jeans comprar talla menos",0,1
"179",179,1522,"tal espaba l calidad buenisima resistente mezclilla gruesa talla compre quedo ma perfecto ajustado cintura cadera holgado pantorrilla aunque igual apitillado comodo queda genial usarlo camisas poleras dentro pantalon recomendado u si recomiendo producto",1,0
"180",180,1523,"talla habia talla compre quedo bien modelo foto realmente mismo color azul grueso liviano elasticado buen calce recomiendo escoger misma talla ademas vez pones empieza dar u si recomiendo producto",1,0
"181",181,1528,"ideal llevalos puestos viajes largos versatiles toda ocasion acabo comprar segundo si talla amplia mejor comprar menos u si recomiendo producto",1,0
"182",182,1530,"compre color blanco tela gruesa trasluce compre talla siempre queda buen calce u si recomiendo producto",1,0
"183",183,1533,"hermoso compre negro talla elasticado queda perfect quedo tipo mom jeans unico pega todas pelusas grueso comodo u si recomiendo producto",1,0
"184",184,1534,"comodo lindo queda hermoso u si recomiendo producto",1,0
"185",185,1540,"comodo talla guiandome comentarios compre talla ma queda holgado elasticado notum estirara sugeriria comprar talla habitual altura ombligo volvere comprar stock u si recomiendo producto",1,0
"186",186,1549,"encanto bello super comodo compre jeans color azul tela super elastica recomiendo u si recomiendo producto",1,0
"187",187,1550,"tela jeans elasticada compre talla regular queda mom jeans solo queda pantalon regular bonito igual esperaba aunque precio bien",1,0
"188",188,1558,"acaban llegar compre talla quedan perfectos comodos bellos si tan mom jeans u si recomiendo producto",1,0
"189",189,1564,"compre azules preciosos comodos ser mom ma ajustados compre talla normal quedaron bien si comprado talla menos quedarian apretados u si recomiendo producto",1,0
"190",190,1566,"compre negro talla quedo super tiro alto buena tela feliz",1,0
"191",191,1569,"compre jeans azul habia leido comentarios cintura pequeno asi cambie producto talla utilizo t quedo excelente material buena calidad elasticado quedo largo gusta queda doblez mido u si recomiendo producto",0,1
"192",192,1575,"encanto pedi talla negro super elasticado talla correcta tallas pequenas parece mom jeans si muchas piernas queda justo quizas alguien quede ma holgado vea mom jeans buena tela grueso elasticado quiero azul recomiendo u si recomiendo producto",1,0
"193",193,1576,"modelo megan mom menos compre talla mido queda super comodo ven tobillos gusto haberlo comprado ojo pedi talla siempre u si recomiendo producto",1,0
"194",194,1587,"bonitos echo perder cierre primer uso",0,1
"195",195,1589,"lindo color super elasticado encanto mejor tiro alto u si recomiendo producto",1,0
"196",196,1595,"quedo perfecto general asi pedi talla elasticado mundo comodo ahora si quieres quede apretado apretado compra talla menos si quieres quede normal suelto pide talla uufef",1,0
"197",197,1598,"compre azul talla talla regular sybilla quedo super recomiendo comprar talla menos si suuuper acinturadas si talla regular queda perfecta u si recomiendo producto",1,0
"198",198,1601,"generalmente pantalon negro compre talla quedo ajustado arriba parte abajo pierna quedo suelto ma arriba tobillo doblez azul decidi comprarlo talla quedo super calce bonito tambien tiro alto tela comoda ambos elasticados quedan mom completamente personal prefiero talla ma uso generalmente",1,0
"199",199,1604,"mom talla pedi quedaran grandes quedaron justos mom",0,1
"200",200,1605,"generalmente compro sybilla ahora compre quedaran ma sueltos buena idea consideracion piernas ma rellenitas tal vez si quieren ma sueltos deben comprar talla ma estilo mom creo amplios cintura entonces podrian quedar sueltos u si recomiendo producto",1,0
"201",201,1611,"segui comentarios anteriores compre talla menos quedaron perfectos solo ma apretados cintura tela elastica corte pantalon hermoso encanto u si recomiendo producto",1,0
"202",202,1612,"talla talla corresponde poquito suelta aunque modelo mom jeans creo bien tela rigida suave encanto u si recomiendo producto",1,0
"203",203,1620,"recibi negro esperando claro guie comentarios compre talla normalmente pense mom jeans real onda algodon elasticado tela elasticada tiempo va cediendo jeans sybilla misma tela super incomodo mande tomar vez asi siguio dando calce raro carteras toscas hacen ver parte atras caida precio okay prefiero jeans basement altura si devolverlo cambiarlo",0,1
"204",204,1623,"lindo color celeste apretado compre talla jam<e1>s mom jeans pantalon apretado cintura tipicos creo comprandome dos tallas ma cumpliria elasticado u si recomiendo producto",1,0
"205",205,1627,"compre azul talla ma pedi quedo suelto cintura gustado pompas piernas creo sirve chaparritas quedan mom tela super rica comoda u si recomiendo producto",0,1
"206",206,1631,"tenia mucha fe quedan lindos pedi talla menos quedo perfecto debo admitir comodos tiro alto justo termina ombligo color solo poquito ma oscuro foto u si recomiendo producto",1,0
"207",207,1633,"color azul quede mom comprar talla ma talla talla ma",0,1
"208",208,1636,"ayuda confunde si compro azul ser talla talla normal mido si talla menos marque si nl si talla agradeceria",0,1
"209",209,1638,"chicas recomiendo azul lindo normalmente talla pedi quedo perfecto viene dobles puedes bajar queda ma largo llego tiempo color tal foto asi animense super lindo u si recomiendo producto",1,0
"210",210,1646,"compre blanco negro puedo usar ambos queda ma comodo asi creo mejor comprar talla menos lindos tiro super alto apretados piernas u si recomiendo producto",1,0
"211",211,1649,"compren talla menos super tiro alto comodos u si recomiendo producto",1,0
"212",212,1652,"comodos talla hice caso comentarios compre quedaron bien unico malo negros llenan pelusas asi final quede tan conforme compra recomiendo comprar colores",1,0
"213",213,1659,"pense jeans serian mom talla pedi quedara uuuultra sueltos llegaron di cuenta apretados aparece calce mom strech embargo bueno baratisimos notum buena calidad aun elasticados llegaron dia compra si recomendar jeans mom sino calce lindo esperaba ser talla sueltos u si recomiendo producto",0,1
"214",214,1660,"tela gruesa elasticada tiro alto altura ombligo ajustados ser mom jeans ven lindos igual quizas talla ma quedaria ma mom jeans cintura seria ancha u si recomiendo producto",1,0
"215",215,1664,"talla quedaron grandes cintura cadera recomiendo talla menos u si recomiendo producto",1,0
