"","id","text","sentimiento"
"36",36,"compre talla quedo grande elasticado poto queda bolsa",0
"37",37,"cama bonito colchon siente firme costo dias adaptarme parecia poquito duro acostumbre encanta u si recomiendo producto",1
"38",38,"compre negro tal foto modelo pequeno siempre compro vez compre quedo chico justo tela tan elasticada u si recomiendo producto",0
"39",39,"bellos material genial detalles tal ven fotos u si recomiendo producto",1
"40",40,"leu comentarios comprar talla ma grande pedi quedaron grandes ir tienda cambiar talla menos quedaron perfectos u si recomiendo producto",1
"41",41,"compre negro quedo chico pedir talla ma u si recomiendo producto",1
"42",42,"pesimo producto colchon dura mes notan resortes",0
"43",43,"buen horno lamentablemente duro meses buen uso barras inferiores calentaron ma lastima horno barato",1
"44",44,"lindos calce perfecto comodos u si recomiendo producto",0
"45",45,"buen producto buena relacion precio rendimiento",1
"46",46,"mui comodo fresco tan pitillo da mayor comodidad u si recomiendo producto",1
"47",47,"compre pantalones negros talla quedaron perfecto llegaron super rapido u si recomiendo producto",1
"48",48,"lindo comodo igual foto talla normal doblado abajo puede sacar entonces queda ma largo puede usar dos formas",1
"49",49,"rajo primer dia use rodillas abrio tooodo",0
"50",50,"u si recomiendo producto",1
"51",51,"lindo calce modelo buen producto cintura u si recomiendo producto",1
"52",52,"primera vez compro marca encantaron",1
"53",53,"maravilloso tiempos coccion precisos buen tamano excelente producto relacion precio calidad",1
"54",54,"yeans bonitos quedan bien comodos buen precio u si recomiendo producto",1
"55",55,"gustaron aunque mom ma bien pitillo uso talla compre blancos gruesos transparentan bueno elasticados tiro alto u si recomiendo producto",1
"56",56,"u si recomiendo producto",1
"57",57,"encontre estilo mom compre blanco talla compre quedara holgado quedo demasiado grande quedo chico asi cambiarlos modelo buena eleccion",0
"58",58,"genial grande recomiendo",1
"59",59,"compre dos azul negro pedir talla menos pedi quedaron super bien unico malo negro pegan pelusas creo lavados pasara gustaron u si recomiendo producto",1
"60",60,"talla compre talla azul quedaron super similar have chica fotos tiro alto cubren apenas ombligo si estilo tipo mom bonito calce llego dia esperado u si recomiendo producto",1
"61",61,"excelente horno eficiente comodo seguro encanto u si recomiendo producto",1
"62",62,"super comodo elasticado talla corresponde medias u si recomiendo producto",1
"63",63,"dos negro blanco blanco ma pequeno debi haber pedido talla ma queda jeans skinny bien bonitos buena calidad precio u si recomiendo producto",1
"64",64,"horrible producto",0
"65",65,"colchon duro llevo dos noches usandolo duele fatal espalda pase malas noches recomiendo",0
"66",66,"lindo calze comodo bien imposible sacar pelusas pegan demasiado",1
"67",67,"generalmente talla sybilla compre jeans talla quedo grande cintura unico malo demas bien u si recomiendo producto",1
"68",68,"ideal comprar misma talla modelo grande queda anchito tela jeans gruesa color tan blanco",1
"69",69,"compre azul negro compre talla ma azules estupendos mom jeans asi negros ma gruesos ma ajustados ojo misma talla obvio u si recomiendo producto",1
"70",70,"tela ma bien gruesa super elasticada color negro recomendaria talla menos habitual u si recomiendo producto",1
"71",71,"encanto colchon esperaba medidas exactas liviano trasladar u si recomiendo producto",1
"72",72,"rigidos ma invierno excelente calidad compre blanco negro u si recomiendo producto",1
"73",73,"encanto compre color azul queda lindo aunque tan estilo mom compre talla queda super bien tome cuenta comentarios super elasticados llegaron tiempo pronosticado super buen comprare blanco ahora",1
"74",74,"podrian reponer tallas color blanco encanta quiero color",0
"75",75,"persona si talla elasticada talla menos debes elegir okay azul foto ma oscuro vista gusto absoluto demas okay ojo corto llega tobillos poquito ma abajo ma",0
"76",76,"si ma largo seria perfecto ma jeans recto mom compre talla queda holgado",1
"77",77,"talla pedi misma talla color azul queda super bien creo despues tela dara si queda tan estilo mom tan sueltos piernas super lindos u si recomiendo producto",1
"78",78,"u si recomiendo producto",1
"79",79,"cama excelente",1
"80",80,"intente comprar semana pasada cancelaron intente vez ma hace dias vez si resulto jeans comodos tela elasticada fresca general uso talla asi talla pedi cintura quedaron ligeramente grandes piernas justos quedan mom jeans todas formas estan bien si piernas tan flaquitas caso consideraria comprar talla ma ajustar cinturon u si recomiendo producto",1
"81",81,"hermoso elasticado compre talla siempre quedaron super si quieres ma anchos usa talla ma u si recomiendo producto",1
"82",82,"tela elasticada rigida mom clasico super comodo asi luces viejo mamarracho u si recomiendo producto",1
"83",83,"bellos q pedir talla menos comodos amo compre blanco negro quiero q esten disponibles azulrecomendados u si recomiendo producto",1
"84",84,"compre jeans color azul talla corresponde segun tabla quedan bien material bueno color tal imagen buen regalo navideno compre mucha anticipacion encontre suerte tienda ma caro quede conforme u si recomiendo producto",1
"85",85,"general pantalon bonito tiro alto unico detalle ma bien ajustados cuerpo si buscas pantalon ma bien suelto sugiero pedir tallas ma pantalon queda foto queda ma ajustado aun",1
"86",86,"lindo jeans compre azul talla siempre ocupo quedo perfecto envio rapido llego dias super contenta compra u si recomiendo producto",1
"87",87,"compre azul clarito tela elasticada comodos solo muslos anchos comprar talla ma tenia despacho enero llegaron hoy dic u si recomiendo producto",1
"88",88,"compren talla normal menos si usan tallas ma grandes compre talla quedo perfecto aparte elasticados amo u si recomiendo producto",1
"89",89,"buena calidad comprarse talla menos super elasticados u si recomiendo producto",1
"90",90,"tallas jeans ma pequenas deberia ser talla be definitivamente s ahora hacer largo tramite cambiarlo",0
"91",91,"comodos lindos muslos anchos quedan mom bien elasticados u si recomiendo producto",1
"92",92,"compre pantalon azul numero talla habitual quedaron sueltos esperaba estilo mom guie comentarios decian pedir talla menos menos mal quede talla quizas pedido ma cintura quedaria grande si bonitos esperaba u si recomiendo producto",1
"93",93,"lindos comodos color clarito compre talla recomiendo u si recomiendo producto",1
"94",94,"tamano justo temperatura perfecta",1
"95",95,"demasiado lindo encanta have puesto compre azul normalmente talla quedo super bien tan apretado tan suelto tiro alto ombligo elasticado excelente compra u si recomiendo producto",1
"96",96,"elasticados mom baratos compre azul negro u si recomiendo producto",1
"97",97,"comodo pedi talla habitual quedo bien aunque notum lavados ira estirando genial piernas queda justo bello despacho rapido pedi jueves llego hoy martes u si recomiendo producto",1
"98",98,"demasiado elasticado da impresion durara despues quedara suelto variar pedi azul talla llego",1
"99",99,"excelente producto tamano exacto necesario funcionamiento termostato optimo",1
"100",100,"generamente talla comentarios habia comprarse talla ma lograr efecto mom jeans toda razon compre talla quedaron grandes cintura ajuste tutorial pinterest quedaron perfectos ame azules elasticados color igual foto negro tela ma dura atrapa pelusas u si recomiendo producto",1
"101",101,"encanto tela comodos u si recomiendo producto",1
"102",102,"maravilloso buen producto bonito comida queda perfecta recomendado falabella mejor tienda tiempos",1
"103",103,"compre azules leu medio ajustados solo piernas quedaron grandes lados gluteos solo ajustados piernas tendre ver ir cambiarlos ahora u si recomiendo producto",0
"104",104,"demasiado elasticado ser <U+0093> mom <U+0094> tendre cambiar compre celeste ma claro have fotos tela delgada gusto pantalon verdad",0
"105",105,"excelente calce tela horrible llena pelusas inmediato",0
"106",106,"super comodos elasticados dejan moverte facilidad deforman lavados u si recomiendo producto",1
"107",107,"encantaron si bien mom comodos tiro alto muuuuy elastica dos normalmente pedi quedaron grandes ahora pedi negro ver tal u si recomiendo producto",1
"108",108,"u si recomiendo producto",1
"109",109,"encanto tela espectacular quedan hermosos u si recomiendo producto",1
"110",110,"realmente excelente buena calidad cocino ahi cero fallas facil usar limpiar relacion precio calidad buenisimo recomendable u si recomiendo producto",1
"111",111,"comprando jeans sybilla horma chica comprado leu comprar talla menos guie compre talla quedaron perfecto buen tiro alto",1
"112",112,"pantalon lindo compre color azul claro talla normal buena calidad u si recomiendo producto",1
"113",113,"compre mom ahora probadores estan cerrados probe casa mom quedaron igual skinny pitillos tela buena calidad si u si recomiendo producto",1
"114",114,"lindo pantalon guie comentarios compre talla ma gran error quedo grande pantalon lindo buena calidad super elasticado compre azul u si recomiendo producto",1
"115",115,"comodo bandeja lavable recibir restos comida menciono anteriormente tenia finalmente fondo produjo corrosion haciendole orificio ademas trae tenaza tomar bandejas calientes u si recomiendo producto",1
"116",116,"compre negro ame talla calza perfecto quiero clarito si mismo tallaje leido q color cambia",1
"117",117,"bueno diseufffd elegante cumple q esperaba necesitaba u si recomiendo producto",1
"118",118,"compre talla siempre celeste negro quedaron perfectos tela gruesa comodos ahora quiero comprar blanco u si recomiendo producto",1
"119",119,"cama ma grande esperaba esteticamente linda alta primera vez compro cama ortopedica debe claro colchon ma firme cosa acostumbrarse si espaldas necesitan",1
"120",120,"compre negro talla material ma grueso resto material hace pelusas adhieran facilidad notum ma minimo",0
"121",121,"buena calidad comodo confortable super blando ma importante ser ortopedic dolor espalda adios saludos",1
"122",122,"tiro super alto comodo aunque queda mom queda lindo igual u si recomiendo producto",1
"123",123,"compre negro buena confeccion tela pegan pelusas mascotas tallas estan correctas cintura caderas uso talla quedan tan holgados modelo si super comodos apretados ma bien sueltos u si recomiendo producto",1
"124",124,"guie x comentarios talla sybilla compre quedaron perfectos bonitos u si recomiendo producto",1
"125",125,"maravilloso encanto comodisimo full recomendado u si recomiendo producto",1
"126",126,"verdad lindos incluso elasticados mom dicen quedan pantalones normales pitillos",1
"127",127,"alguien puede decir si pantalon celeste celeste azul encargue llega viernes si celeste cancelar compra u si recomiendo producto",1
"128",128,"jeans tiro alto guie comentarios compre talla menos quedaron ajustados piernas anchos jeans elasticado grueso tela aunque quedaron ma ajustados pensaba voy cambiar queda bonito calce",0
"129",129,"compre talla menos quedaron hermosos u si recomiendo producto",1
"130",130,"preciosos buena calidad normalmente talla quedo maravilloso elasticados opinion si quieren ma holgados pedir talla normal ma u si recomiendo producto",1
"131",131,"excelente combinacion precio calidad comodo u si recomiendo producto",1
"132",132,"leu comentarios poder saber talla comprar reacia comprar talla menos pesar muchas recomendaban asi elegi talla suelo usar normalmente jeans azul quedo perfecto aconsejo comprar talla usan habituamente jeans tiro alto tapa ombligo sueltito abajo color tela precioso u si recomiendo producto",0
"133",133,"mom elasticado tiro alto material buena calidad menos azul talla quedo perfecto",1
"134",134,"tiro alto super comodos elasticados pidan talla ma menos azul oscuro celeste talla corresponde si quedaran sueltos u si recomiendo producto",1
"135",135,"buen jeans have totalmente mom jeans dejare medidas si alguna sirve estatura cadera cm cintura cm siempre sybilla compre vez leu comentarios habia comprar talla ma cintura quedado bien si cintura pequena recomiendo compres talla tipo strench tela elastica caida rectum tipica mom jeans lindo jeans hace bonota figura mom jeans u si recomiendo producto",1
"136",136,"facil manejar preparacion quedan bien u si recomiendo producto",1
"137",137,"pedir talla ma grande si quiered quede mom fit sino parece solo skinny jeans jajja",0
"138",138,"talla leu comentarios asi pedi quedo increible jeans ma comodo comprado retail parecer si fit tipo mom solo fit tela gruesa mom tampoco tan tan delgada respecto tiro alto llega ombligo maravilloso largo tambien bacan llega tobillo jeans viene arremangado abajo foto relacion calidadprecio adecuada creo definitivamente comprare solo si jejeje u si recomiendo producto",1
"139",139,"talla elegi talla comentarios leu mejor opcion queda casi estilo pitillo tela elasticada comoda queda lindo puesto verdad esperaba ma ancho ma largo mido quedo ma arriba tobillos u si recomiendo producto",1
"140",140,"verdad hermoso talla toda vida pedi quedaron sueltos cintura si recomendaria talla menos igual ojo tiende hacer unas piezas u si recomiendo producto",1
"141",141,"comodo excelente calidad u si recomiendo producto",1
"142",142,"super lindo compre azul talla siempre quedo ajustado arriba suelto abajo asi recomiendo si quieren quede suelto estilo mom compren dos talla ma normal u si recomiendo producto",1
"143",143,"cumple funcion relacion precio producto bien recomendable u si recomiendo producto",1
"144",144,"guie comentarios pedir talla menos favorable caso cierra justo encontre tiro alto color hermoso u si recomiendo producto",1
"145",145,"buena compra momento funciona bien bandejas rejilla hace practico",1
"146",146,"hola skiny talla leido recomiendan comprar talla menos tinca talla pequena alguien skiny ayude diciendo si debo comorar mom graciss",0
"147",147,"grandes verdad ven super lindos puesto tela elasticada pedir numero ma si quieres queden bien suelto piernas u si recomiendo producto",1
"148",148,"jeans lindo normalmente talla pedi queda modelo ahora pedi quedara estilo skinny elasticado comodo u si recomiendo producto",1
"149",149,"azul compre talla quedo perfecto suelto apretado luego pedi negro misma talla quedo devolver ma chico",0
"150",150,"compre negros tela atrapa pelusa have horrible recomiendo compra",0
"151",151,"buen producto especialmente persona tercera edad u si recomiendo producto",1
"152",152,"talla quedo grande lleno motastodas pelusas pegan pantalon tampoco agrado calce jeans",0
"153",153,"alguien puede decir si color blanco transparenta si transparenta puede poner si si transparenta",1
"154",154,"compre blanco quedo grande pedi talla siempre uso mido quedan demasiado anchos ven feos ademas pegaron muchas motas siquiera usado solo probe compre pensando verian foto pense harto recomiedo minimo talla menos caso ojala sirva uwu",0
"155",155,"jeans buena calidad gruesos strech unico malo vienen grandes asi si compran elijan talla menos acaban llegar pedi talla talla siempre quedaron bien cintura quedan sueltos comodos piernas queda holgado ser mom buena compra volveria comprar color azul u si recomiendo producto",1
"156",156,"maravilloso comodo liviano feliz compra u si recomiendo producto",1
"157",157,"cumplio expectativas calidad ofrece marca u si recomiendo producto",1
"158",158,"traen modelo compre pantalon hace mes aproximadamente bajado peso estan quedando grandes compre talla ma normal ahora necesito talla real tienda online estan porfaaaaaaaaaaaaaaaa necesito massss bknes u si recomiendo producto",1
"159",159,"exquisito recomendable buen productos hace",1
"160",160,"perfectos compre talla menos queda regio u si recomiendo producto",1
"161",161,"guie comentarios compre talla menos pedi pesar haber leido quedan mom jeans elasticados encantaron alto comodos color negro precioso guiense comentarios salvado varias u si recomiendo producto",1
"162",162,"liviano comodo fresco excelente precio calidad volveria comprar u si recomiendo producto",1
"163",163,"compra demoro dias llegar buen leu persona recomendo tallas entonces compre color negro quedo perfecto aliviando comodo tiro alto u si recomiendo producto",1
"164",164,"mom rigidos elasticados entonces sueltan pedi talla normal quedaba grandes cambie tampoco gustaron quedan siguen sueltos",0
"165",165,"acabaron dolor espalda u si recomiendo producto",1
"166",166,"jeans tiro alto tela elasticada dura recordar tipo mom ende si quieres estilo pidan talla menos pedir talla siempre encantaron comodos u si recomiendo producto",1
"167",167,"buen calce generalmente ahora quedo perfecto u si recomiendo producto",1
"168",168,"buena cama comodo colchon ademas have bonita",1
"169",169,"bellos deberian traer ma tallas ma colores gustaria comprarlos u si recomiendo producto",1
"170",170,"excelente producto felices compra",1
"171",171,"lindo buen calce dicen demas comentarios ojala pedir talla menos menos color negro si ojo tela pega lamentablemente lindo jeans cualquier parte voy lavo llena peluzas",1
"172",172,"u si recomiendo producto",1
"173",173,"cumple expectativas liviano practico usar siempre horno grande comidas quedan ricas rapidas hacer recomiendo",1
"174",174,"super comodos elasticados leu comentarios dicen pedir talla menos queda grande tipo pantalon asi pitillos pedi mom quedan super mom deben quedar talla cm cintura cm tiro cm caderas talla cm cintura cm cadera cm tiro espero sirva u si recomiendo producto",1
"175",175,"comodos compre talla menos regularmente compre quedaron super bien guante tela gruesa tampoco ma delgada termino medio color negro profundo foto mega recomiendo u si recomiendo producto",1
"176",176,"elasticado efectivamente pedir talla menos u si recomiendo producto",1
"177",177,"cama dura supone acostumbrarse colchon cuerpo mejoraria pasar meses cambiado suena primer dia recomendable",0
"178",178,"encantaron compre color negro hice caso comentarios compre talla menos quedaron super gustaron quedaran suelto estilo mom jeans si quieres queden ma apretados recomiendo tallas menos u si recomiendo producto",1
"179",179,"normalmente talla curvy hice caso comentarios compre talla quedo perfecto iba quedar grande cintura recomendacion talla menos usas normalmente",1
"180",180,"tela elasticada mom jeans tiesos amoldan figura piernas quedan sueltas resultando forma diferente mom jeans cintura grande",0
"181",181,"cama principio bien despues empezo soltar lados menos ano base rechina colchon sienten resortes",0
"182",182,"super elasticados buen calce normalmente talla compre quedo bueno recomiendo comprar talla menos usual u si recomiendo producto",1
"183",183,"chicas miren explico dicen escoger talla estilo mom queda apretado abajo aconsejo pidan talla menos ejemplo si pedir aunque parte abajo siga quedando ma suelto have bien asi estilo queda feo parte abdomen notum queda grande asique consideren si si recomiendo almenos talla menos deje guiar decian pidiera talla quedo raro abdomen color compre blanco u si recomiendo producto",0
"184",184,"devolviendo venia golpe use asi puedo opinar calidad",0
"185",185,"colchon comodo vale pena u si recomiendo producto",1
"186",186,"dependiendo marca modelo voy talla cintura caderas aprox si bien queda bien tipo tela tambien habria venido asi parte si aconsejo talla menos modelo queda tipo mom jeans tampoco totalmente skinny diria punto medio u si recomiendo producto",1
"187",187,"cuidado pidan azul talla llega blanco lado lindo material buen fit mom ma ajustado",1
"188",188,"u si recomiendo producto",1
"189",189,"pedi azul tal sale foto tambien elasticado tiro alto recomiendo pidas talla normal u si recomiendo producto",1
"190",190,NA,NA
"191",191,"compre numero talla creo igual vendria bien elasticados tiro alto tal foto parecer mom jeans igual lindos precio calidad bien u si recomiendo producto",1
"192",192,"jeans comodo bonito tiro alto realmente tiro alto tela gruesa u si recomiendo producto",1
"193",193,"leu varios comentarios recomendaban tallas menos si quieres quede mon compra talla normal dara buen calce talla mido preguntaban largo quedo justo uso cintura u si recomiendo producto",1
"194",194,"producto buena calidad llego tiempo comprometido u si recomiendo producto",1
"195",195,"excelente deforma liviano ultra comodo buena calidad mire u si recomiendo producto",1
"196",196,"segui comentarios varias compre talla menos quedo perfecto calce bello encanto u si recomiendo producto",1
"197",197,"etiqueta die fit megan mom stretch verdad pitillo poquitito suelto verdadero mom pedi quedaron bien tiro verdad alto",1
"198",198,"precio lindo compre azul talla quedo perfecto",1
"199",199,"lindos pedi talla quedan perfectos ma bien apretados recomendables u si recomiendo producto",1
"200",200,"ma obscure azul azul",0
"201",201,"compre jeans negro pedi talla normal tenia jeans azul pequeno modelo color elasticado u si recomiendo producto",1
"202",202,"compre talla habitual azul quedaron perfectos modelo holgado mom jeans ademas entrega rapida recomiendo u si recomiendo producto",1
"203",203,"malo calce pantalon usualmente compre quedo grande super sueltodefinitivamente mom jeans recomiendo si buscas mom fit",0
"204",204,"si van encargar comprar talla ma ademas ma bien tiro medio revisar mio llego cierre malo",0
"205",205,"compre tonos compre talla quedaron grandes solo caderas quedo perfecto q elasticados blanco material azul mejor u si recomiendo producto",1
"206",206,"pesar recomendaban comprar talla menos decidi comprar misma talla quedo perfecto anchos quedan cintura ombligo quedo levemente amplio tela elasticada holgados",1
"207",207,"demasiado comodos comentarios anteriores sirven guia respecto talla comprar asi porfa repongan tono celeste comprarlos u si recomiendo producto",1
"208",208,"elasticado comprar talla normal jeans compre dos si moscas quedo grande panza agloba quedo bien mom acostumbramos ver epoca <U+00B4> ma ajustado piernas jeans recto lindo",1
"209",209,"buen calce comodos compre talla habitual u si recomiendo producto",1
"210",210,"u si recomiendo producto",1
"211",211,"pantalon bonito tela suave notum puede ceder algun momento talla pedi talla quedo bien si paso pedi color azul llego blanco asi gusto quedare pantalon super comodo u si recomiendo producto",1
"212",212,"u si recomiendo producto",1
"213",213,"compre talla negro azul poquito ma grandes q talla creo estan bien modelo recomendaria comprar talla menos porq mom jeans debe quedar holgado comodos tela denim u si recomiendo producto",1
"214",214,"repongan tallas colores favor comodos u si recomiendo producto",1
"215",215,"principio okay coccion pan minutos grados ahora min apurar coloco perilla solo tubo abajo luego minutos doy vuelta espumadera lisa fine marzo ano",0
"216",216,"talla ma grandenormalmente quedaron grandes ademas material gusto negro notum pegan pelusas pelos etc respecto color celeste mejor opinion notum adhieren pelusas",0
"217",217,"elegi azul talla llego color blanco pedir talla menos color quedo suelto tela gruesa suave unico bueno",0
"218",218,"producto comodo cumple todas especificaciones indican buena calidad despacho cumplio entrega fecha acordada totalmente recomendado u si recomiendo producto",1
"219",219,"comodo cubierta suave algodon adapta cuerpo u si recomiendo producto",1
"220",220,"compre color blanco tela suave trasluce compre talla comentarios quedo bien poquitito grande generalmente talla mom sueltos ma bien mom apretados ven super lindos puestos u si recomiendo producto",1
"221",221,"buena tela color elasticado forma da pedi queda super va soltando asi creo pedire ma pequeno color recomiendo u si recomiendo producto",1
"222",222,"comodos pedi talla normal quedaron perfectos estilo mom sutil tiro alto ombligo voy negro u si recomiendo producto",1
"223",223,"lindos especiales buscamos mom solo mencionar dejen llevar comentarios guie tome talla equivocada uso talla pedi quejaban pequenos quedo talla ma grande u si recomiendo producto",1
"224",224,"perfecto descanso blando durojusto ofrece esperaba",1
"225",225,"comodo elasticado asi pedi talla quedo grande pedido elasticados quedan super bien u si recomiendo producto",1
"226",226,"compre azul negro talla ma uso quedaron sueltos hacian bolsa parte adelante devolvi encontre tienda ahora talla pagina asi esperar volver comprarlos",0
"227",227,"compre talla general quedaron perfectos tan apretados sueltos gruesos elasticados excelente compra buena calidad precio u si recomiendo producto",1
"228",228,"horno calienta bien malo venia parte rota puerta abrirla ra vez solto manilla lleve tienda cambiaron problemas u si recomiendo producto",1
"229",229,"liviano tiempo otorgado coccion platillos eficiente igual sistema calor feliz compra u si recomiendo producto",1
"230",230,"tela ideal dias helados blanco trasluce aaauunque cuarentena p subi compre comentarios creo quedado perfecto recomendaria sip solo si gustan quedan bien tipo modelos mom u si recomiendo producto",1
"231",231,"guie tallas tabla caben quedan mom jajaj normalmente tabla compre claro quedan bien calce deberia quedar modelo asi si quieren sueltecitos jeans si si compren talla normal negros ma ajustados comodos buena calidad u si recomiendo producto",1
"232",232,"problema comprar azul llegaron blancos parecer problema pagina buenos jeans compre talla menos quedan justos si quieres queden sueltitos mom debe ser misma talla u si recomiendo producto",0
"233",233,"buena relacion precio calidad u si recomiendo producto",1
"234",234,"tela gruesa suave comodos corte mom fit ma tradicional incluso angosto si buscan holgado prefieran talla ma grande definitiva marca u si recomiendo producto",1
"235",235,"compre quedo bien suelto apretado quizas notaria ma mom cintura quedado nadando tela elasticada quizas ma adelante quede ma suelto pueda lucir mejor u si recomiendo producto",1
"236",236,"u si recomiendo producto",1
"237",237,"buena calidad pesar barato unico malo venia alarma aun solucionar tema ahora tienda cerrada u si recomiendo producto",1
"238",238,"talla asegure comprando quedo perfecta lindo calce mido quedan ombligo esperando vuelva stock celeste comprarlo u si recomiendo producto",1
"239",239,"encanto modelo estilo mom asi ma holgado talla asegure comprando quedo perfecto tela gruesa asi trasluce ropa interior doy u si recomiendo producto",1
"240",240,"excelente feliz compra totalmente recomendable",1
"241",241,"buen calce comodo tiro alto feliz compra",1
"242",242,"u si recomiendo producto",1
"243",243,"exelente producto espalda quedo encantada colchon pude dormir mejor mejor precio bueno totalmente recomendable",1
"244",244,"tal ala foto elasticado talla pequena pedir talla ma si quieres quede tan ajustado",0
"245",245,"buen producto buena calidad patas base colchon recomendable",1
"246",246,"tela moderadamente elasticada comoda malo skinny compre talla ma aun asi quedo ajustado muslos gemelos aun asi color muu lindo tal imagenes u si recomiendo producto",0
"247",247,"compro celeste tal medidas die tabla comprar talla ma seria gran utilidad si contestaran gracias",0
"248",248,"liviano comodo firme descansado maravillosamente ademas funda lavar u si recomiendo producto",1
"249",249,"excelente adquisicion comoda practicum reconfortable duermo placenteramente compre cama cic ortopedic u si recomiendo producto",1
"250",250,"lindo material mala calidad rigido modelo gusto",0
"251",251,"blanco transluce delgado comodo verano u si recomiendo producto",1
"252",252,"buenos jeans buena calidad retiro problemas u si recomiendo producto",1
"253",253,"compre talla quedo apretado elasticado comprare talla ma darian hacer cambio llame u si recomiendo producto",0
"254",254,"siempre compres cama cic debes tener espacio listo llegue compra domicilio repartidores instalan inmediato u si recomiendo producto",1
"255",255,"normalmente talla jeans compre talla ma q sub siempre ma chicos comunmente quedaron super ancha caderas muslos quedaron ajustados bien elacticados negro tan oscuro compre negro azul precio q decir u si recomiendo producto",0
"256",256,"tela pantalon gruesa estilo mom strech buen calce aun si recomendaria talla menos ahi perfecto verdad problema pelusas mascota lleno pelusitas ambiente",0
"257",257,"buena buena buena grande elegante si gusta cocinar hornos excelente",1
"258",258,"compre negro talla quedo super bien modelo amy u si recomiendo producto",1
"259",259,"compre negro celeste compre comentarios quedaron super sueltos cintura quizas quedaria bien celeste ma ajustado negro unico malo tela pegan pelusas aparte okay",0
"260",260,"encanto comodos talla perfecta compre uso siempre quedaron bien excelente compra entrega rapida u si recomiendo producto",1
"261",261,"comodos habia comprado nunca marca encontre buscaba blanco rasgado tiro alto ademas llegaron fecha estipulada asi felizu u si recomiendo producto",1
"262",262,"encantan camas patas altura genial organizar espacio queda confortable totalmente recomendable u si recomiendo producto",1
