"","Comentario"
"29","Muy lindos y comodos, el color esta genial y la talla perfecta
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"30","Excelente estilo y diseño, además muy cumplidos en la entrega, muy bien todo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"31","Porque combina con todo. es super confortable. la recomendaria
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"32","Me encantaron son súper cómodos y vestidores son más de lo que esperaba
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"33","El estilo es genial, se ven diferente y bonitos, son cómodos y el color es totalmente igual a los que llegan
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"34","Vale la pena lo que vale, excelente calidad y diseño
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"35","Se ajusta perfecto al pie y es súper comodo, no pesan
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"36","Son cómodos , aparte es genial para los días de linvieno.No se mojan las medias para los días de lluvia <U+2614><U+FE0F> los recomiendo son unas zapatillas que las puedes usar en cualquier época del año .
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"37","Porque es espectacular, viendolo puesto es hermoso, son muy lindos
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"38","Me gusta, son cómodos pero en talla si son pequeños me tocó comprar 2 tallas más grandes
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"39","Excelente producto, excelente calidad, super efectivos en los envíos, AMO mis tenis
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"40","El diseño, cumple con lo que necesitaba mi hija!!!!!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"41","Me gusta el diseño y como se ven puestos con las prendas.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"42","Zapatilla cómoda, quizás algo estrecha, el largo, perfecto. Ligera y práctica
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"43","me parecen versátiles y cómodos ademas se pueden usar para deporte y outfits no deportivos
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"44","super comodos y lindos, sirven para hacer ejercicio y para salir
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"45","Me encantaron, talla perfecta y tal cual están en la pagina
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"46","El diseño tiene un problema en la parte delantera y es que es bastante estrecho para el pie y esas costuras generan ampollas. Los materiales son geniales y tienen una apariencia confortable
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"47","Excelente producto, tal cual como lo esperaba, cómodo y lindo, excelente calidad y tiempo de entrega
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"48","Son súper hermosos y cómodos, trae cordones adicionales.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"49","me encanta el diseño y comodidad, es super liviano.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"50","Buenas y bonitas zapatillas , las volvería a comprar
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"51","Los ei devuelto la talla muy grande en comparación con otros sapatos.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"52","Solo está hasta la talla 9, y yo soy 9.5, pero sin empargo las compré porque me encantan, traigan 9.5, por favor
Traigan 9.5 por favor, los compro al instante
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"53","Excelentes! Son demasiado cómodos y Muy lindos. Recomendadísimos
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"54","Los calcetines llegaron muy rápido sin de buena calidad y el tamaño perfecto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"55","Son zapatos muy cómodos y hermosos, una horma perfecta que hace que tú outfit sea maravilloso, a demás su limpieza es muy fácil, no se manchan.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"56","Es muy fácil de combinar y el color es muy bonito, lo único no tan bueno es que se ensucian fácilmente
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"57","son super bellos. mejor de lo esperaba. me encanta rebook
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"58","They are very comfortable, very soft and look good with different outfits
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"59","El estilo me encanta Supero mis expectativas el estilo es hermoso
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"60","Los tenis son muy cómodos, buen material, los recomiendo.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"61","con todo respeto muchos productos que ustedes fabrican para mujer yo como hombre los utilizo por que son mas confortables , livianos, .... las recomiendo excelente
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"62","Excelente producto, igual al de la foto, very comfy, sin embargo las tallas son un dolor de cabeza. Por lo menos a mi me quedaron ajustados aunque es mi talla usual
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"63","La parte superior parecía estar bien pegada a la suela cuando las recibí pero tras ponermelas solo durante medio día observé un agujero entre ambas piezas. No venían tan bien pegadas como pensaba.
Publicada originalmente en reebok.com"
"64","Es media talla mas pequeña, normalmente soy 6.5 y tendré que cambiarlos por un 7
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"65","Super cómodas y la talla perfecta. Me gustaría que fueran un poco menos gruesas para que no dieran calor en verano
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"66","Comodidad y tallas perfectas, envío a tiempo y colores lindos
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"67","Un calzado con un estilo moderno muy comodo y para combinar con todo!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"68","SON LAS SEGUNDAS QUE COJO, SON PARA UN SOBRINO QUE CUMPLE AÑOS Y QUERIA UN CALZADO COMODO PARA ÉL. MI HIJO TIENE UNAS IGUALES Y ESTA SUPER COMODO CON ELLAS, POR ESO ME DECIDI A COMPRARSELAS A MI SOBRINO. MI HIJOLAS USA PARA BAILAR HIPHOP Y DICE QUE ESTA SUPER COMODO, QUE SON ZAPATILLAS DE BAILE.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"69","(Esta reseña se ha recibido a través de una promoción.) Estilo y look ala hora de vestir con exelente comodidad y refuerzo en la suela en caucho para dar mayor durabilidad
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"70","(Esta reseña se ha recibido a través de una promoción.) Estilo increíble inspirado en los 90, para mujer, están inspirados en el running, una capellada de cuero y tela, es suave y flexible, calzado qué Combina moda y calidad en cada una de sus Partes.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"71","(Esta reseña se ha recibido a través de una promoción.) Es súper cómodo , me gustan mucho como me queda super como los visto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"72","(Esta reseña se ha recibido a través de una promoción.) Es un calzado con estilo urbano, hechos para correr con suela gruesa que te permite un mejor desempeño!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"73","(Esta reseña se ha recibido a través de una promoción.) Calzado qué Combina moda y calidad en cada una de sus Partes . Calzado hecho para durar qué té quedará con tu Estilo casual Deportivo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"74","(Esta reseña se ha recibido a través de una promoción.) Calzado muy casual para salir con tus amigos o vestir casual!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"75","Este calzado de runinig fue inspirado en los 90, fueron actualizados con un estilo urbano la capellada de cuero y tela suave y flexible
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"76","(Esta reseña se ha recibido a través de una promoción.) Calzado clásico, con un diseño exterior de tela y cuero. Muy cómodas, utilizables tanto para hacer deporte o para todos los dias.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"77","(Esta reseña se ha recibido a través de una promoción.) Es un calzado de horma ancha, perfecta para pies anchos, muy cómodas y ligeras.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"78","(Esta reseña se ha recibido a través de una promoción.) muy lindas, comodas y resistentes. Te da mas altura y estilo. Combinables con todo. Perfectas
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"79","(Esta reseña se ha recibido a través de una promoción.) Muy buena relación calidad precio, y un producto muy versátil para su uso
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"80","Me gusta su estilo y forma. De disgusta un poco su dureza.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"81","(Esta reseña se ha recibido a través de una promoción.) un excelente modelo para correr, son muy comodas y espaciosas por dentro
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"82","Están geniales son súper hermosas cómodas frescas el ajuste es perfecto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"83","(Esta reseña se ha recibido a través de una promoción.) Al ser un calzado urbano, es muy cómodo. Me encanta el nuevo diseño, alto y canchero.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"84","Me gusta porque es todo blanco y no es demasiado deportivo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"85","Quedan super xulas. Uso plantillas i compré el 40 i super cómodas blanditas....bonito disenyo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"86","No era del mismo color que la foto, pensaba que iban a ser grises pero eran Lila
Publicada originalmente en reebok.com"
"87","Porque molan muchisimo y estoy muy contenta por ello
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com"
"88","Parecen de mala calidad nada más que sacarlo de la caja, en la imagen se ve bonita pero en persona no es así
Publicada originalmente en reebok.com"
"89","si son entre talla 38 o 40, elijan la 40 (aunque no quedan) tengo 72 de cintura y 100 de cadera, y ME QUEDÓ APRETADO! la tela no es denim, es de las que se le pega mucho las pelusas, buena relación precio calidad, pero tendré que devolverlos porque me aprietan :("
"90","Me encanta el modelo, los tengo en azul! Pero necesito comprar más de este modelo en azul! Repongan stock porfi
<U+2714> Sí, recomiendo este producto."
"91","Porque dejaron de subir tallas grandes, si es un buen producto yo quiero comprar mas....
<U+2714> Sí, recomiendo este producto."
"92","Me encantó, queda perfecto a mi tipo de cuerpo. Para referencia mido 1.63 y el largo me llega abajo de los tobillos la talla 36 me quedó perfecta
<U+2714> Sí, recomiendo este producto."
"93","Tienen un olor muy extraño, al lavarlos dejo mi ropa con el mismo olor, no los recomiendo, por muy baratos que sean"
"94","Me compré el negro y queda maravilloso, como es semi rígido te favorece la cintura. No alcancé al azul :(
<U+2714> Sí, recomiendo este producto."
"95","Bello pantalón, pidan 1 talla menos, mido 1,60 cm y me quedó largo, así que mandaré hacerle basta
<U+2714> Sí, recomiendo este producto."
"96","Soy talla 36-38 y me compre primero 38, me quedaron un poco grandes de cintura asi que me pedi en talla 36 en negro y celeste y los ocupo siempre. Son muy lindos, con linda caida, elasticados, de cintura alta ideal para usarlos con top y se ve hermoso. Quedan apegados al cuerpo!! Te forma una muy linda figura. Mido 1.58 y los uso con zapatillas con un poco de plataforma y se ven las piernas eternas!! Me quedan mas largos que la modelo pero no tanto como para doblarlos, los amo!
<U+2714> Sí, recomiendo este producto."
"97","Suban más tallas 42 en azul!!!!!!"
"98","Pedí talla 34 (normalmente es la que uso) y me quedo perfecto. Es cómodo y grueso. Solo espero que no pierda color con las lavadas.
<U+2714> Sí, recomiendo este producto."
"99","Por fa que tengan envíos para la quinta región, quiero comprar el jeans pero no me están los envíos:( solo para stgo"
"100","Son súper cómodos y quedan hermosos puestos. La tabla de tallas corresponde. El único problema es el tipo de tela, se le pegan con facilidad pelusas, pelos, etc.
<U+2714> Sí, recomiendo este producto."
"101","Pantalón con muy buen calse y calidad
<U+2714> Sí, recomiendo este producto."
"102","Muy cómodos y lindos, gran diseño
<U+2714> Sí, recomiendo este producto."
"103","La tela es de muy buena calidad, compre el de color negro y no se destiñe fácilmente, eso me pareció muy bueno ya que lo utilizo para trabajar y por la pandemia lo lavo más de una vez a la semana
<U+2714> Sí, recomiendo este producto."
"104","El jeans me quedó muy bien, pero tiene un olor horrible, lo he lavado muchas veces y el olor queda, con el calor se potencia"
"105","Excelente la tela y talla perfecta
<U+2714> Sí, recomiendo este producto."
"106","Tiene un buen calce, material elasticado por lo cual es muy cómodo, excelente compra lo recomiendo
<U+2714> Sí, recomiendo este producto."
"107","La tela es semi gruesa y elasticada. Suelo ser 38 en Sybilla así que pedí esa talla y me quedo bien, sin embargo si buscas que te quede un poco suelto debes pedir una talla más.
El largo está bien, mido 1,70 y cubre mis tobillos.
<U+2714> Sí, recomiendo este producto."
"108","Compre el azul en mi talla normal 36 y me quedo perfecto me mande a pedir el negro tambien :D
<U+2714> Sí, recomiendo este producto."
"109","Compre el azul hace un tiempo talla 40 es súper elástico no como pensé por la foto, pero aún así tiene buen calce resalta la figura. Si te gustan más ajustado pedir una talla menos porque dan. Me gustaría pedir el negro pero no se si es exactamente igual al azul.
<U+2714> Sí, recomiendo este producto."
"110","me encantó, me había comprado varios jeans sybilla...pero este es el primero que se adapta a la figura , además de sentirse súper cómodo! compren su talla normal!
<U+2714> Sí, recomiendo este producto."
"111","El pantalón queda como se ve en la foto (yo tengo el negro), es súper cómodo y muy versátil, no hay que hacerle nada, hasta de largo me quedó súper.
Recomiendo que sea lavado a mano, al menos eso hago yo y no plancharlo.
<U+2714> Sí, recomiendo este producto."
"112","Son muy comodos... soy talla 48 y quedan de maravillosos.
Por favor mas tallas grandes como la 48 !!!!"
"113","Es muy cómodo y queda súper lindo puesto, la talla corresponde a la habitual además que es elasticado. Lo malo es que al menos al negro se le pegan pelusas, fuera de eso es perfecto.
<U+2714> Sí, recomiendo este producto."
"114","son muy comodos pedir la talla que se usa habitualmente ya que son elásticados, yo tengo los dos colores y son bellísimos, mis favoritos."
"115","Por favor agregar tallas grandes... 48 por favor!!!!!!
<U+2714> Sí, recomiendo este producto."
"116","Soy 77 cintura y 95 cadera, me quedó cómodo el talla 38, el talla 36 me trituraba la cintura.. En general sólo es cómodo, porque no es un jeans que resalte lo estético, de hecho me veo más ancha o menos delgada de lo que me hacen ver otros jeans. Elasticado pero de tela gruesa, de rodillas hacia abajo muy anchos. No es el jeans maravilloso que describen exageradamente en otros comentarios."
"117","me he comprado 3 negros y uno en azul, soy talla 36 normalmente, pedí uno en talla 38 porque en los comentarios mencionan que es igual al 36 pero a medida del tiempo igual dan un poquito , así que es mejor comprar de la talla correspondiente al menos en mi caso, son súper elasticados y de buena calidad !
<U+2714> Sí, recomiendo este producto."
"118","La tela es un poco gruesa, es firme pero tiene buen nivel de elastizado... No se le pegan las motitas que es lo usual en los jeans negros."
"119","Es tiro es bien alto lo que me encantó soy talla 38 aunque ahora creo que baje una talla, pero pedi 38 y me calzó perfecto el color no me mató pero me gusto, buena compra relacion precio y producto.
<U+2714> Sí, recomiendo este producto."
"120","Yo soy talla 38 de jeans, me compre en esa talla el jeans celeste, me lo probé y me quedo perfecto de cintura, ni muy apretado ni muy suelto, pero son demasiado largos (mido 1.58 y me sobró una mano de tela), lo que hará que cuando lo corte pierda un poco la forma. Respecto a la tela, es super elasticada y delgada, se nota que son de los jeans que sueltan con los lavados.
<U+2714> Sí, recomiendo este producto."
"121","Lo compre en azul en talla 40 pensando que me podría quedar chico el modelo. Y me quedo grande el jeans."
"122","Al principio cuando los vi pensé que eran muy pequeños pero me los probé y quedan perfectos.
<U+2714> Sí, recomiendo este producto."
"123","Es bonito pero es suelto regularmente en esta marca soy 36 a 38 para no arriesgarme compre el 38 y es demasiado elasticado y me quedo suelto se nota que dará a mas la tela
<U+2714> Sí, recomiendo este producto."
"124","Compre el azul talla 40 por miedo a ser pequeño, es muy elasticado, a la primera queda bolsudo. La caída es extraña. No me gusto mucho"
"125","Me encantaron, eso si son pequeños.. hay que pedir una o dos tallas más de la que eres usualmente y el pantalón negro se llena de pelusas pero son lindos"
"126","muy lindo! Es muy cómodo, hoy me llego y la talla súper bien!
<U+2714> Sí, recomiendo este producto."
"127","Me compré en talla 38 como habitual lo hago y es un poco pequeño y el olor que tiene no se puede sacar, pero aún así es muy lindo y fácil de combinar"
"128","Siempre he sido 36 en esta marca, vez que me he comprado un 38 me quedan un poco holgados, así que me arriesgue y compre un 36 y me quedo súper, tengo 75 de cintura y 90 de cadera, por lo que al ser elásticado calza súper, mido 1,60 aprox y me quedo un poquitín largo para mi gusto pero nada que una basta no solucione. Es muy lindo el color azul.
<U+2714> Sí, recomiendo este producto."
"129","Soy talla 38 y compre 40 y quedo super! Muy cómodo.
<U+2714> Sí, recomiendo este producto."
"130","Soy talla 38 pero compré 40 en jeans negro guiándome por comentarios, me quedó gigante!
<U+2714> Sí, recomiendo este producto."
"131","Pidan una talla más, son muy pequeños
<U+2714> Sí, recomiendo este producto."
"132","Super cómodos 100% recomendables.
<U+2714> Sí, recomiendo este producto."
"133","Jean con muy buen calce, mas holgado de abajo y ajustado de cintura. Soy talla 36-38 normalmente, compre jean azul talla 38 pero son muy elasticadas, asi que siento que me quedaron un poco grandes... Definitivamente lo comprare en negro pero talla 36, recomendados al 100%!
<U+2714> Sí, recomiendo este producto."
"134","Son bellísimos y muy cómodos, compré en ambos colores, en mi talla normal (38) y me quedaron divinos
<U+2714> Sí, recomiendo este producto."
"135","Compre el azul en mi talla de siempre y me quedo bien, me quedo bien de largo y mido 1,62
<U+2714> Sí, recomiendo este producto."
"136","Súper bonitos me compre un azul y un negro en talla 38 pero como soy bajita 1.53 me quedaron loarnos no tanto se pueden usar así pero es mejor hacerles una basta"
"137","Soy talla 38, me guié por los comentarios y compré el negro talla 40, es elasticado y me quedó súper bien!! El color es demasiado lindo y con zapatillas altas queda bacan!!
<U+2714> Sí, recomiendo este producto."
"138","Fui a buscar hoy mi jeans en versión azul es hermoso! Compré talla 38, y me queda perfecto tengo 77 de cintura aprox y cadera 96.
<U+2714> Sí, recomiendo este producto."
"139","OJO! La tabla de tallas está desfasada, yo me compré 38 según las medidas y no me quedó bueno. Revisé los que tenía de antes de la misma talla, así que para 80 cms de cintura, compren el 42 no 38."
"140","Compré el de color negro y jeans, ambos quedaron perfectos son elásticados.
El negro es un poco menos elásticado
<U+2714> Sí, recomiendo este producto."
"141","Compre unos azules en talla 36, (es mi talla y ningún problema, quedaron muy bien), están súper lindos, en lo personal me gusto mucho el color pero es más claro que el de las fotos, el de las imágenes es más azul, pero la realidad es un celeste claro sin esas oscuridad de color que se ve en la imagen referencial, aún así me gustaron mucho.
<U+2714> Sí, recomiendo este producto."
"142","Muy lindo, pedí mi talla normal 38 y me quedó bien, mido 1.68cm y quedan perfectos de largo! Es elasticado por lo que se siente cómodo al usarlo. Lo recomiendo!
<U+2714> Sí, recomiendo este producto."
"143","Se ajusta muy bien al cuerpo. Pensé que me podía quedar pequeño pero es elasticado. Soy talla 38 y me quedó perfecto, aparte que el modelo esta muy lindo!!
<U+2714> Sí, recomiendo este producto."
"144","Es lindo, llego en el tiempo estimado, tiro alto, super cómodo, pedí la talla que siempre uso (40), cumple con el corte boot cut (ligeramente mas ancho abajo, no es tipo flare) pero la tela es de esa que se llena de pelusas :( es lo único malo
<U+2714> Sí, recomiendo este producto."
"145","Es bastante cómodo y se ajusta muy bien al cuerpo no es tan apretado de las piernas como otros jeans, con respecto a la talla recomiendo pedirlo una talla más grande ya que es bastantes ajustado de cintura, respecto al largo de piernas me quedo largo pero en calidad esta perfecto.
<U+2714> Sí, recomiendo este producto."
"146","Me quedo bien, soy 38 y pedí 38. no lo encontré tan alto de tiro y largo de piernas mido 1,6 me sobró como 10cm jaja
<U+2714> Sí, recomiendo este producto."
"147","Tiro alto, ajustado, talla normal, elasticado y largo normal. Mido 1.56 y pedí talla 36, solo un poco largo como siempre. Recomendado.
<U+2714> Sí, recomiendo este producto."
"148","Es cómodo, pero el corte no es lindo, no lo recomiendo"
"149","Compré el jeans clarito y es muy lindo me quedó perfecto, compré talla 40 es igual a la foto. De largo me quedó bajo el tobillo mido 1.60
<U+2714> Sí, recomiendo este producto."
"150","Compre el celeste y me encantó! Es recto abajo y no tan corto como otros modelos. Llega Justo al borde del pie, mido 1,67. No al tobillo como los últimos sybilla que he comprado, y es un poco más holgado que otros modelos que apenas me cierran siendo la misma talla. Y lo Máximo que es pretina alta.
<U+2714> Sí, recomiendo este producto."
"151","es todo altísimo, muy elasticado, llego en la fecha indicada, me encantoo"
"152","Muy cómodo, lindo corte, hermoso si lo usas con botines con tacones, me encanta.... Yo tengo los dos colores y son maravillosos !!!! <3
<U+2714> Sí, recomiendo este producto."
"153","A las q les gustan extremadamente elásticados les va a encantar porque lo son, yo pedí el más claro en 38 y me quedé súper apretado, tal vez un 40 me habría quedado mejor ( soy 38 por eso pedí esa talla). Es recto así que súper.
<U+2714> Sí, recomiendo este producto."
"154","Me compré el jeans azul claro, me encantó, me compré talla 40 porque leí comentarios que era una talla más, siempre ocupo 38, los 40 me quedaron geniales porque de cadera son ajustados, me encantaron, hagan caso y compren una talla más a la de siempre
<U+2714> Sí, recomiendo este producto."
"155","Llegó hoy el producto, lo compre en color azul talla 40, debido al modelo y a la marca (son pequeñas).
El color del jeans es menos azul que el de la foto, me llega bajo los tobillos debido a mi estatura, no tiene mal olor y el material esta bien y es elasticado en la cintura.
<U+2714> Sí, recomiendo este producto."
"156","Queda justo de cintura, en comparación a otras marcas es más pequeño, llega justo al tobillo( pedí talla 38 y mido 1.70), buen material y elásticado."
"157","Son de pierna recta, me quedaron grandes. He comprado esta misma marca en otros modelos y estos pantalones son mucho más anchos de cintura. Compré en azul y negro."
"158","Esperaba más, la tela es como llena de pelusas (al menos del negro) y el jeans tiene un olor extraño como a mal calidad, igual es barato, pero he comprado jeans de la misma marca mucho mejores"
"159","Pedí el celeste y es bellísimo, mido aprox 1.63 y me llega bajo el tobillo, pero doblado se ve precioso, buen calce, ajustado, si son 38/40 pidan 40"
"160","Me quedo súper! Pedí 36 que es la que siempre ocupo (mido 68cm de cintura y 95cm de cadera). De altura mido 160cm y me quedo de largo como en la foto. Si bien aún no lo lavo se ve de buena calidad y los cierres son ykk.
(Me los pedí en azul)
<U+2714> Sí, recomiendo este producto."
"161","Exelente la guia de talla pedi 40 soy 84 de cintura ,100 cadera y me quedo genial mido 1,63 y me llega casi al talón , en la parte de la cintura es ajustada pero de manera perfecta en que amolda tu cintura nada que decir de el envio fue super rapido.
<U+2714> Sí, recomiendo este producto."
"162","Es super bonito. Es muy elastico y la talla es super normal. Lo unico es que viene con un olor raro como de jeans de mala calidad pero por el precio la verdad es que no me importo tanto. Es largo, mido 1.64M y me queda super bien
<U+2714> Sí, recomiendo este producto."
"163","Quedan tal cual a la foto, son ajustados de Cintura, elasticados y quedan al tobillo (mido 1.83 y pedí 38)
<U+2714> Sí, recomiendo este producto."
"164","Apenas lo uses las pelusas se quedarán pegada en la tela y se debe pedir una talla más ya que de cintura es apretadisimo
<U+2714> Sí, recomiendo este producto."
"165","La talla 40 parece 36 son muy chicos, son rectos y muy duros no los recomiendo para nada, los tuve que devolver"
"166","Peso 85, talla 48 y el azul me quedo excelente ya que son elasticados en la cintura y estomago. Geniales, apretados y un poco suelto como desde la pantorrilla hacia abajo. Pense que nada de esta marca me quedaria bueno por mi peso.
<U+2714> Sí, recomiendo este producto."
"167","Son bacanes!!! Muy lindos, cómodos y tienen muy buen calce. La talla esta ok. Los recomiendo!!!"
"168","Bonito calce , exactamente igual a la fotos .. solo que me quedo largo mido 1.53 :( , si se dobla en la parte de abajo queda igual de lindo
<U+2714> Sí, recomiendo este producto."
"169","Me compré el pantalón color negro talla 40, es elásticados pero no en exceso como para que en un lar de uso se agrande (mis medidas son, cadera:106, cintura 75). Mido 1.65 y me queda justo al tobillo. Es muy cómodo
<U+2714> Sí, recomiendo este producto."
