"palabra","positivo","negativo","sentimiento"
"A las q les gustan extremadamente elásticados les va a encantar porque lo son, yo pedí el más claro en 38 y me quedé súper apretado, tal vez un 40 me habría quedado mejor ( soy 38 por eso pedí esa talla). Es recto así que súper.
<U+2714> Sí, recomiendo este producto.",2,0,1
"A los 4 cuatro meses de uso las barras dejaron de funcionar, una lastima. Sin embargo, en buen estado, funcionó eficientemente en preparaciones de masas y reposteria.",3,3,0
"A los dos meses de uso moliendo comida de mi bebé que son solo verduras, se le salio una cuchilla
<U+2714> Sí, recomiendo este producto.",1,0,1
"A los familiares
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"A los pocos usos se rompió entre las piernas. Son jeans desechables.",0,0,0
"A mi familia le encantó. Un poco lento el proceso del pan pero el resultado es muy bueno.",5,3,1
"A mi me ha gustado mucho.... puedo hacer distintas mezclas y aunque al principio me fue difícil... pero aprendí a utilizar los programas de masa y horneado y quedan muy bien.A veces lo preparo, lo tajo y lo congelo para cuando lo necesito y lo coloco en la tostadora..
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en falabella.com.co",1,1,0
"A pesar de que el manual de indicaciones necesita algunos ajustes en cuanto a las cantidades y porciones, la máquina es muy versátil y nos presta muchos beneficios..
<U+2714> Sí, recomiendo este producto.",0,1,0
"A pesar de que no llego a la fecha indicada y falabella no me dio ninguna explicación como con varias compras más. Hasta el momento la impresora funciona súper bien y fácil de conectar y usar.",1,0,1
"A pesar de que recomendaban comprar una talla menos, decidí comprar mi misma talla (40) y me quedó perfecto. No son muy anchos, quedan a la cintura sobre el ombligo (me quedó levemente amplio), la tela es elasticada, y no son muy holgados.",1,1,0
"A pesar de ser pequeño y compacto, tiene un sonido potente y nada que decir de la batería, dura bastante.
<U+2714> Sí, recomiendo este producto.",2,1,1
"a principio todo bien, pero me duro menos que un año se rodo la parte donde se encajan las piezas provocando que se quemara.",0,1,0
"A todos ya que es un básico de la cocina para todo uso tanto comidas y tentaciones dulces
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",1,0,1
"Absolutamente
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"Acaba de llegar y es muy comodo, lo pedi en mi talla 38 y quedo perfecto, es un modelo recto.
<U+2714> Sí, recomiendo este producto.",2,1,1
"Acabo de comprae la impresora, llegue a probarla altiro , se conecta bien y todo . El unico y gran problema es que el carril de las hojas no las toma, hay que ayudar a la.impresora para tomar mas hojas y cuando lo hace toma mas de una. Por ende no suede imprimir.... por lo que tendre que cambiarla.",1,2,0
"Acabo de comprar el lápiz en maconline (Gracias por avisar) sería bueno que si les llega puedan avisar para saber si es seguro y no hay ni un problema, gracias!!
<U+2714> Sí, recomiendo este producto.",6,1,1
"Acostumbro a comprar talla 40 en pantalones de marca sybilla porque el calce es juvenil. Pero estos son más grandes de lo común, hay que pedir una talla menos a la acostumbrada. Me quedaron gigantes.",0,1,0
"Actualicen sus descripciones, aquí dice que tiene sensor de huella dactilar, o touch ID lo cual es completamente falso y perteneciente a la siguiente generación del dispositivo con respecto a este. Y está demás decir que venderlo a un precio tan elevado es inaceptable por parte de la compañía y su distribuidor. Haganse ver.",2,6,0
"Además de ser un computador liviano, es funcional para mis necesidades, prende y apaga rápido, incluyo las aplicaciones. También es fácil de transportar y la batería baste.
Muy buen funcionamiento
<U+2714> Sí, recomiendo este producto.",0,1,0
"Adquirí este producto hace poco y me encanto
<U+2714> Sí, recomiendo este producto.",1,0,1
"Adquirí esto ya que permite usar Direct Tv Go, HBO, etc., donde normalmente las TV y dispositivos son compatibles con una u otra pero no todas. Tengo un Smart TV Sony y no me permitía bajar esa App, en PS4 tampoco podía y el Apple TV de primera generación se anula sólo con las actualizaciones, tampoco me dejó . Acá puedo usar prácticamente todo. Es Cómodo tener control remoto que libera el Teléfono a diferencia de Chromecast y Amazon, puedes estar hablando mientras cambias la TV. Económico para lo útil que es.
<U+2714> Sí, recomiendo este producto.",0,1,0
"Ahora que no se puede salir a comprar pan a diario, es una excelente aliada
<U+2714> Sí, recomiendo este producto.",2,1,1
"Al conectar da mensaje de no ser compatible",1,0,1
"Al conectar la primera vez, recomiendo tener cerca la señal wifi; hasta ahora impecable.",2,0,1
"Al momento de probarlo me quedó bien se atapta al cuerpo pero al rato de ocuparlo empieza a soltar, 2da vez que me pasa por un pantalón de esta marca. Muy mala calidad la tela",0,1,0
"Al momento de voltear la botella para se derrama toda el agua, esta completamente cerrada e igual sale toda el líquido.
MUY MALO PÉSIMA CALIDAD",2,2,0
"Al poco de usar, falló el cabezal. No imprimió más en negro. HP me mandó un cabezal nuevo y volvió a fallar. Yo creo que es falla del modelo.",1,4,0
"Al primer uso dejo de funcionar",0,0,0
"Al primer uso dejo de funcionar, sin Terminar de preparar el batid. Pesima",1,0,1
"al principio bien luego del corto tiempo las barras superiores no prenden",0,0,0
"Al principio cuando los vi pensé que eran muy pequeños pero me los probé y quedan perfectos.
<U+2714> Sí, recomiendo este producto.",0,1,0
"Al principio de sentía suave, pero es muy elasticada y va cediendo MUCHO. Adicional se le pega todo pelusas, pelo, lo lave y fue peor",0,3,0
"Al principio era maravilloso, lo usábamos de manera regular hasta que a los 10 meses fallaron los quemadores superiores.",15,0,1
"Al principio funcionó bien, pero luego de un par de meses, dejaron de encender las resistencias superiores. Una decepción considerando el precio del producto.",0,0,0
"Al principio super buenos, pasadas las 2 semanas se empezaron a escuchar más bajo, cambio de producto.",0,0,0
"Al principio todo ok, la cocción del pan era en 24 minutos a 180 grados. Ahora a los 40 min y a las 30 para apurar coloco la perilla sólo con el tubo de abajo, luego de unos minutos la doy vuelta con una espumadera lisa. Lo tengo de fines de marzo de este año.",0,3,0
"Al principio tuve mis dudas de comprar, por los comentarios negativos, pero al comenzar con la vendedora me convenció, y tenia razón es muy buena solo hay que utilizar las cantidades indicadas en recetario que trae y reemplazar lo que no utilices como la azúcar por la misma cantidad de harina!
El pan queda muy rico y sube muy bien, la recomiendo
<U+2714> Sí, recomiendo este producto.",0,2,0
"Al principio tuve que sacar varias veces los cartuchos y reiniciarla pero la impresión es buena y de buena calidad incluso en modo borrador para ahorrar toner
<U+2714> Sí, recomiendo este producto.",0,0,0
"al producto se le ha estado pelando el interior del recipiente.
Publicada originalmente en falabella.com.co",2,0,1
"Al querer comprar en talla 48 azul me tira automaticamente al color blanco, podrían subir stock en color azul en talla 46 o 48 porfavooor",1,2,0
"Al ser el original funciona perfecto
<U+2714> Sí, recomiendo este producto.",1,0,1
"Al tercer mes las barras superiores dejaron de funcionar.
Una pena porque era muy bueno.
La empresa respondio
Y se hizo efectiva la garantia.",9,6,1
"Al usarla por primera vez, ningun problema.
Veremos mas adelante.
Con fruta congelada.. Hielo y agua
Se licuo todo bien",2,1,1
"Alcance uno! Es un pequeño monstruo! Claridad y profundidad del sonido.
<U+2714> Sí, recomiendo este producto.",2,1,1
"Alcanza muy rápidamente la temperatura necesaria. Me encanta .
<U+2714> Sí, recomiendo este producto.",0,3,0
"Alcanzamos a usarlo unas 6 veces y salió olor a quemado y no funcionó mas.... al parecer no viene bien sellado y aislado, los vasos perdieron líquido al momento de licuar, eso entró al motor (que no debería ocurrir) y eso produjo que no funcionara mas... Me duró menos de dos semanas....",0,5,0
"Algo rígidos, son más para invierno, pero excelente calidad!!
Los compré en blanco y negro.
<U+2714> Sí, recomiendo este producto.",2,3,0
"Alguien me puede decir si el pantalón celeste es celeste o es azul? Lo encargué y llega el viernes, si no son celestes para cancelar la compra:(
<U+2714> Sí, recomiendo este producto.",1,1,0
"Alguien puede decir si los de color blanco se transparenta???? Si no se transparenta puede poner SI, y si se transparenta NO",1,0,1
"ALGUIEN QUE HAYA COMPRADO EL JEANS BLANCO PUEDE DECIRME SI SE TRASLUCE POR FAVOR!!
<U+2714> Sí, recomiendo este producto.",1,0,1
"Alguien que lo haya comprado y me pueda indicar el sistema operativo que trae o MacOs (creo que se llama) que tiene porfis
<U+2714> Sí, recomiendo este producto.",0,0,0
"Alguien que me pueda orientar más a utilizar la maquina porfavor",0,0,0
"Alguien que tenga la maquina, gasta mucha electricidad?",1,0,1
"Alguien sabe que año es el computador?",0,0,0
"alguien tiene una receta que pueda compartir y que realmente el pan suba... he intentado creo que como siete panes y nunca me sube correctamente he probado varias recetas de internet y no hay caso",1,2,0
"Alguna me podría ayudar a seleccionar el azul correcto? Quiero el azul más oscuro pero en todos los tonos de azul sale la misma imagen :(",1,0,1
"Alguna podría decirme el nombre que sale adentro por favor, que me guio por eso. Muchas gracias",0,0,0
"Amé este producto, práctico, a buen precio, saludable. Es un 10!!
Publicada originalmente en falabella.com.co",3,0,1
"Ame estos mom azules son maravillos!! Muy comodo y se ven fantásticos!
<U+2714> Sí, recomiendo este producto.",0,1,0
"Ame los jeans!!! Muy comodos y quedan súper lindos puestos, además son de tiro alto.",0,2,0
"Amigas no hagan caso a comentarios el jeans es ancho x q es mom, pero tienen q pedir su talla normal, para q le qde como mom, si lo quieren mas apegado en ese caso una talla menos, pero olgado qda muy bien
<U+2714> Sí, recomiendo este producto.",0,2,0
"Amo el modelo sophie, tengo los 3. Pero esta vez encargué el negro nuevamente ya que se me ha desteñido y no tenía las florecitas, tenía tachas :( pero bien :(
<U+2714> Sí, recomiendo este producto.",1,3,0
"Amo este producto, convierte fácilmente un led en un smart tv, fácil de usar, pequeño, práctico, lo puedes instalar en cualquier tv.",0,0,0
"Amo estos jeans!! son el modelo ""Emily"", pedí 2, uno azul y uno negro, el azul lo pedi en 44 q es mi talla de siempre y por lo que se siempre los jeans negros tienden a ser más ajustados porq al teñirlos quedan medios tiesos, por lo que los pedí en 46 ya que en los comentarios decía que el negro era más pequeño, y me quedaron súper!!!, nada que decir, llegaron en la fecha indicada y todo envasado bien, y calce perfecto, acotar que el azul es más tiro largo que el negro, pero lo mínimo...
<U+2714> Sí, recomiendo este producto.",2,4,0
"Amo estos pantalones, termine comprando los 3 colores, por lo general soy 36, 38, de cintura 70, caderas 93 y compre el 38 me quedaba pero finalmente los cambie por el 36 porque con el 38 se me formaban unas bolsas, que pese a ser estilo mom me gusto más el 36. Excelente compra precio y buena calidad de la tela.
<U+2714> Sí, recomiendo este producto.",5,0,1
"Amo mi maquina!! me la regalaron para mi cumpleaños y he realizado varios tipos de pan, el primero lo hice con mucho miedo después de leer tanta variedad de comentarios... El resultado? un pan exquisito!! mis favoritos son integral y blanco con aceitunas, orégano y pimentón!! delicioso! la verdad solo es seguir el orden de los ingredientes, en lo personal ocupo el recetario de la Blanik que esta en internet y es muuuy completo. pongo los ingredientes en el mismo orden que aparecen en el listado y listo! un pan delicioso...
<U+2714> Sí, recomiendo este producto.",9,4,1
"Amo mucho mi Roku, me ha funcionado fantástico. Siento que es un excelente producto.",1,0,1
"Amoo tanto!! Jijij he hecho papas fritas.. Sin ni una gota de aceite y sal y aun así me he lucido con la maquinita, lo que si tiene su técnica, pero es cosa de práctica..
<U+2714> Sí, recomiendo este producto.",1,2,0
"Amplio, permite utilizar 3 bandejas al mismo tiempo, fácil de limpiar
Buena inversión, se aproveche mejor el recurso",3,0,1
"Amplio,y no necesito del tipico horno para hacer de todo
<U+2714> Sí, recomiendo este producto.",3,0,1
"Anda muy bien, básica y económica",0,1,0
"Antes de los tres meses dejó de funcionar. Lo llevé al servicio técnico, lo arreglaron pero el termostato o similar funciona muy seguido. Es decir, se prende y apaga con mucha frecuencia. No volveré a comprar algo de esta marca.",0,3,0
"antes del año, ""se quemaron"" las barras o resistencias y no funciona mas, ademas no hay servicio tecnico en V region (pesimo UT)",0,0,0
"Antes del mes de haber comprado el horno, mientras cocinaba a 200°, el vidrio de la puesta explota, rompiéndose en mil pedazos, una decepción.",0,0,0
"Antes que nada descargar una aplicaci<U+FFFD>n.Primer intento no me resultaba conect<U+FFFD>ndolo al tomacorrientes y al puerto HDMI seg<U+FFFD>n las instrucciones, no detectaba una conexi<U+FFFD>n, pero el TV y Celular detectaban al Chromecast. Segundo intento, quitar el tomacorrientes y conectar al puerto USB y al HDMI, seguir los pasos y as<U+FFFD> funciono. Resultado final es que funciona perfecto, buena imagen y excelente sonido.
<U+2714> Sí, recomiendo este producto.",4,2,1
"Apenas lo uses las pelusas se quedarán pegada en la tela y se debe pedir una talla más ya que de cintura es apretadisimo
<U+2714> Sí, recomiendo este producto.",0,1,0
"Apple como siempre haciendo magia con sus productos. Si tienes un iPad para estudiar, el pencil es fundamental para complementar la experiencia! :)
Publicada originalmente en falabella.com.co",2,0,1
"Arreglen la descripción, ya que aparece 98% de algodón. Es un pantalón súper ajustado, así es que mejor elegir una talla más si se quiere sentir más cómoda.",1,0,1
"Ase unos días compre el negro
Me lo estaba subiendo para probarlo y se rajó toda la pretina, pésima calidad",1,3,0
"Aunque es pequeña y no tiene una gran capacidad, sirve para cocinar con muy poco aceite una variedad de alimentos. Desde empanaditas de coctail, hasta papas fritas, croquetas, pollo, mariscos, etc. Si bien las instrucciones son referente, usándola se va perfeccionando la técnica de acuerdo al gusto propio. Con papas frescas es un poco más complejo hacer papas fritas, pero recomiendo reducir el tiempo para poder moverlas y completar una cocción más dorada y crujiente.
Excelente en la relación precio y calidad, además es rápida.
<U+2714> Sí, recomiendo este producto.",8,5,1
"Aunque se distorsiona el sonido con el maximo de volumen suena bien a un 75% vol. Me encanta esta marca
<U+2714> Sí, recomiendo este producto.",0,1,0
"Ayer la use por primera vez y salió todo súper bien. Para los que les cueste entender, lean bien el manual, pasó a pasó ya que en un principio no entendía pero después leyendo el manual todo fue fácil. No es necesario un recetario ya que se puede hacer cualquier receta, pero súper bien es silenciosa.",1,1,0
"Ayuda mucho a la hora de freír, las papas salen crocantes con tan solo media cucharada de aceite y tiene una buena capacidad aunque no parezca.
Publicada originalmente en falabella.com.pe",3,0,1
"Ayuda!!! Me confunde si me compro el azul tiene que ser una talla me nos o mi talla normal, mido 1,62.
Si es una talla menos marque si
Nl si es mi talla
Se los agradecería",2,0,1
"Bastante buena para hacer tus batidos de fruta, recomendable",3,0,1
"bastante bueno para el precio, buena marca.",12,0,1
"bastante bueno y facil de limpiar, llego muy rapido, falta un libro con recetas para usar",5,3,1
"Bastante bueno y practico. Cumple la funcion que necesito
Publicada originalmente en falabella.com.pe",4,0,1
"Bastante bueno, el accesorio de la procesadora funciona perfecto",7,0,1
"bastante bueno, no reseca la comida. Es para una o dos porciones",5,0,1
"Bellísimo es estilo moms algo fit da una hermosa figura segui los consejos de los comentarios y pedi una talla mas yo soy 42 pedi un 44 me quedaron perfectos
<U+2714> Sí, recomiendo este producto.",2,0,1
"Bello pantalón, pidan 1 talla menos, mido 1,60 cm y me quedó largo, así que mandaré hacerle basta
<U+2714> Sí, recomiendo este producto.",1,0,1
"Bien, funciona según las expectativas, y con una app puedo proyectar desde el browser cualquier video
<U+2714> Sí, recomiendo este producto.",0,0,0
"Bonito calce , exactamente igual a la fotos .. solo que me quedo largo mido 1.53 :( , si se dobla en la parte de abajo queda igual de lindo
<U+2714> Sí, recomiendo este producto.",1,0,1
"Bonito calce, compre el azul en mi talla habitual (38) y me quedó perfecto. Es elasticado y de tiro alto, muy cómodo.
La parte de arriba es ajustada pero se acomoda bien al cuerpo al ser elasticado.
De largo queda bien también, yo mido 1.72 y me quedan justos de largo.
Tiene bolsillos delanteros.
<U+2714> Sí, recomiendo este producto.",1,2,0
"bonito calce, es de tiro alto compre en 44 por los comentarios y me quedo perfecto pero durante el día la tela va sediendo mucho se empiezan a caer creo que hay que comprar la talla que corresponde.
<U+2714> Sí, recomiendo este producto.",1,3,0
"Bonitos pero hay que pedir una talla mas",0,0,0
"Botella de buen plástico, pero falta potencia en los licuados, pero en relación precio/ calidad cumple.",1,2,0
"buen articulo, cumple excelente
<U+2714> Sí, recomiendo este producto.",1,0,1
"Buen buena...mi suegra me pidió comprar Freidora
Y un día hiso tres presas de pollos demoró 20 minutos
Y la grasa se le fue, hiso para chuletas papas fritas y ect...
Tan crujientes y después saqué y dejé con agua caliente
Lavar con quix y esponja se le sale la grasa y impecable
Maravilloso y la recomiendo 100%
<U+2714> Sí, recomiendo este producto.",6,2,1
"Buen calce y buen material me quedo perfecto!!!
<U+2714> Sí, recomiendo este producto.",1,0,1
"Buen calce, cómodo y tiro alto, feliz con mi comprá.",1,1,0
"Buen calce, no es apretado de arriba , y la talla es un poco chica pero para ambos colores, me encantó
<U+2714> Sí, recomiendo este producto.",0,0,0
"Buen calce, pero no son elasticados
<U+2714> Sí, recomiendo este producto.",0,0,0
"Buen calce, se ajusta muy bien al cuerpo haciendo buena figura. La talla corresponde (color negro)
<U+2714> Sí, recomiendo este producto.",0,4,0
"Buen computador, lo mejor es que me facilita mucho el trabajo porque es muy rápido. Tener en cuenta que no tiene entrada hdmi así que hay que comprar adaptador, y también que la memoria es poca. Hasta el momento no he necesitado más porque almacena casi todo en iCloud pero probablemente necesite comprar disco externo.",3,2,1
"Buen día . Necesito que se contacten conmigo via email , porque necesito una cotización formal de este producto . Buen día !
<U+2714> Sí, recomiendo este producto.",0,0,0
"Buen electrodoméstico, practico y cómodo ... totalmente satisfecha con el producto . Horno muy potente y hasta el momento no ha dado ningún problema. Lo recomiendo ...
<U+2714> Sí, recomiendo este producto.",3,6,0
"Buen equipo aún para los juegos no sirve mucho se sobre calienta pero para usarlo con programas súper bien.
<U+2714> Sí, recomiendo este producto.",0,0,0
"Buen equipo, costo calidad insuperable. Lo recomiendo.
<U+2714> Sí, recomiendo este producto.",0,1,0
"Buen funcionamiento y amplio interiormente .........
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"Buen horno cumple con todo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"Buen horno de gran calidad y facilidad en el funcionamiento.",3,0,1
"buen horno lo recomiendo 100 porciento
<U+2714> Sí, recomiendo este producto.",0,0,0
"buen horno pero lamentablemente me duró 4 meses su buen uso, las barras inferiores no calentaron mas. Una lastima ya que no es un horno muy barato.",3,6,0
"Buen horno, calienta rápido y parejo. Lo recomiendo
<U+2714> Sí, recomiendo este producto.",0,0,0
"buen horno, cumple con mis expectativas, calienta bien sus funciones son fáciles de usar y las dimensiones son ideales para cocinas medianamente pequeñas",1,0,1
"Buen horno, cumplió con mis expectativas!!!!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"Buen horno, ideal para las preparaciones diarias.
<U+2714> Sí, recomiendo este producto.",0,0,0
"Buen jeans, es un poco elasticado por lo que ayuda a que calce perfecto. Muy bonito el diseño de las flores y de los cortes, me gustan que sean sutiles.
<U+2714> Sí, recomiendo este producto.",3,1,1
"Buen jeans! compré el tono mas oscuro, es súper lindo, elasticado y súper cómodo, además es grueso, de buena calidad. Tomé en cuenta el consejo de los comentarios y compré una talla menos, al principio lo sentí un poco apretado pero con el uso soltó y me quedo perfect, así que recomiendo hacerlo también",4,0,1
"Buen mac, rápido al abrir, varias pestañas abiertas sin dificultad, buen audio, teclado cómodo, y la batería maravillosa puede estar varios días sin cargar, completamente recomendado.",3,1,1
"Buen producto
<U+2714> Sí, recomiendo este producto.",0,0,0
"buen producto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"Buen producto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"Buen producto !!! Muy útil para mi iPad además llego rápida mi compra",0,1,0
"Buen producto a un precio conveniente en la tienda.",9,0,1
"Buen producto bien tamaña funciona perfecto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",1,0,1
"Buen producto cumple con las características del catálogo virtual
Ya lo utilizamos y funciona excelente
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",1,0,1
"Buen producto de acuerdo a su valor
<U+2714> Sí, recomiendo este producto.",15,0,1
"Buen producto facil de conetar ningun problema tube que conectarlo con un cargador de celular y sirvio de maravilla ya que la caja es de entrada es americano y biene sin adactador pero vale la pega",2,2,0
"Buen producto fácil de usar y facilita la vida, lo único malo que se aprovecharon de la contingencia mundial y subieron el precio
<U+2714> Sí, recomiendo este producto.",0,1,0
"Buen producto hasta ahora, veré como funciona después
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"Buen producto hasta el momento cumple con las expectativas, hasta pan y pasteles he realizado.
Además no Consume gran cantidad de energía
Lo recomiendo
<U+2714> Sí, recomiendo este producto.",6,3,1
"Buen producto lo compre en la tienda y es muy bueno
<U+2714> Sí, recomiendo este producto.",4,1,1
"Buen producto para el precio. Si lo quieren para hacer papas fritas, es mandatorio revolverlas a la mitad del proceso y usar el canastillo a no mas de la mitad de su capacidad, para así obtener óptimos resultados. Si son papas prefritas, no requieren aceite; pero si son papas naturales, recomiendo lavarlas y secarlas bien, para luego aplicar un poco de aceite y revolver antes de poner en la freidora. En cuanto a capacidad, no caben más de 7 nuggets de pollo, 2 hamburguesas, o 300 gramos de papas; para que se hagan una idea.",3,0,1
"Buen producto pero como veo el nivel de carga del parlante en el celular",1,1,0
"Buen producto pero faltan los repuestos, no se donde comprar, si es que hay.",0,0,0
"Buen producto práctico fácil de utilizar,muy bueno.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",3,1,1
"Buen producto precio calidad hasta el momento ningún problema mis batidos rápidos
<U+2714> Sí, recomiendo este producto.",0,1,0
"Buen producto rápido inicio facial de usar. Mac.",0,0,0
"Buen producto solo que el cable es muy corto , pero por lo demas 100% recomendable",3,3,0
"Buen producto tiene netflix, prime vídeo, Spotify, y ahora Disney plus",0,0,0
"Buen producto tuve uno que es la versi<U+FFFD>n anterior ahora compr<U+FFFD> uno m<U+FFFD>s grande tiene mejor desempe<U+FFFD>o en poco tiempo. Recomendable...
<U+2714> Sí, recomiendo este producto.",1,0,1
"Buen producto y buena relación calidad/precio. Recomendable
<U+2714> Sí, recomiendo este producto.",1,0,1
"Buen producto y el despacho fue antes de lo informado. Tenía miedo por experiencias pasadas, pero funcionó muy bien.",0,4,0
"Buen producto y fácil de utilizar.",0,0,0
"Buen producto y útil para convertir una tv en smart tv",1,0,1
"Buen producto, aunque se suele desconectar cuando hay más de 1 chromecast en la misma casa.
Pero sirve para conectar con Netflix, Amazon Prime, etc.
<U+2714> Sí, recomiendo este producto.",1,1,0
"Buen producto, buena apariencia, buen funcionamiento, lo único malo es que no tiene luz interior al funcionar y no se ven las preparaciones. Por todo lo demás súper buen producto, recomendado!",1,1,0
"Buen producto, buena relación entre precio y rendimiento",0,0,0
"Buen producto, cocina super bien, es amplio y por lo mismo la cantidad de producto que cabe es bastante para una familia amplia.
<U+2714> Sí, recomiendo este producto.",6,0,1
"Buen producto, compatible con mi iPad de 7ma generación.
Publicada originalmente en falabella.com.co",1,0,1
"Buen producto, compré para mi hija para sus clases remotas",1,0,1
"Buen producto, cumple con el objetivo, llevo unos 10 usos y se nota la calidad, no coloco 5 estrellas porque las partes se desmontan solo girando,",1,0,1
"Buen producto, cumple con el propósito.",0,0,0
"Buen producto, cumple con las expectativas , rápido.
Despacho rápido y excelente atención.",1,0,1
