"","Palabra","negative","positive","positivo","negativo"
"234","n",0,0,0,0
"235","precio",0,0,0,0
"236","calidad",0,0,0,0
"237","cumple",0,0,0,0
"238","me",0,0,0,0
"239","encant",0,0,1,0
"240","es",0,0,0,0
"241","muy",1,0,0,0
"242","r",0,0,0,0
"243","pido",0,0,0,0
"244","y",0,0,0,0
"245","liviano",0,0,0,0
"246","u",0,0,0,0
"247","2714",0,0,0,0
"248","s",0,0,0,0
"249","recomiendo",0,0,1,0
"250","este",0,0,0,0
"251","producto",0,0,0,0
"252","u",0,0,0,0
"253","2714",0,0,0,0
"254","s",0,0,0,0
"255","recomiendo",0,0,1,0
"256","este",0,0,0,0
"257","producto",0,0,0,0
"258","es",0,0,0,0
"259","un",0,0,0,0
"260","muy",1,0,0,0
"261","buen",0,0,1,0
"262","pantal",0,0,0,0
"263","n",0,0,0,0
"264","elasticado",0,0,0,0
"265","as",0,1,0,0
"266","que",0,0,0,0
"267","comprar",0,0,0,0
"268","talla",0,0,0,0
"269","correcta",0,0,1,0
"270","lo",0,0,0,0
"271","tengo",0,0,0,0
"272","en",0,0,0,0
"273","azul",0,0,0,0
"274","y",0,0,0,0
"275","negro",3,0,0,0
"276","el",0,0,0,0
"277","negro",3,0,0,0
"278","como",0,0,0,0
"279","buen",0,0,1,0
"280","pantal",0,0,0,0
"281","n",0,0,0,0
"282","negro",3,0,0,0
"283","se",0,0,0,0
"284","le",0,0,0,0
"285","pegan",0,0,0,0
"286","pelitos",0,0,0,0
"287","al",0,0,0,0
"288","instante",0,0,0,0
"289","el",0,0,0,0
"290","negro",3,0,0,0
"291","me",0,0,0,0
"292","lo",0,0,0,0
"293","ped",0,0,0,0
"294","en",0,0,0,0
"295","una",0,0,0,0
"296","talla",0,0,0,0
"297","m",0,0,0,0
"298","s",0,0,0,0
"299","y",0,0,0,0
"300","me",0,0,0,0
"301","queda",0,0,0,0
"302","grande",0,0,0,0
"303","de",0,0,0,0
"304","cintura",0,0,0,0
"305","y",0,0,0,0
"306","ancho",0,0,0,0
"307","de",0,0,0,0
"308","piernas",0,0,0,0
"309","el",0,0,0,0
"310","36",0,0,0,0
"311","qued",0,0,0,0
"312","perfecto",0,1,0,0
"313","de",0,0,0,0
"314","cintura",0,0,0,0
"315","pero",0,0,0,0
"316","m",0,0,0,0
"317","s",0,0,0,0
"318","apegado",0,0,0,0
"319","de",0,0,0,0
"320","piernas",0,0,0,0
"321","as",0,1,0,0
"322","que",0,0,0,0
"323","depender",0,0,0,0
"324","de",0,0,0,0
"325","sus",0,0,0,0
"326","gustos",0,0,0,0
"327","u",0,0,0,0
"328","2714",0,0,0,0
"329","s",0,0,0,0
"330","recomiendo",0,0,1,0
"331","este",0,0,0,0
"332","producto",0,0,0,0
"333","super",0,0,0,0
"334","sencillo",0,1,1,0
"335","de",0,0,0,0
"336","usar",0,0,0,0
"337","el",0,0,0,0
"338","pan",1,0,0,0
"339","queda",0,0,0,0
"340","exquisito",0,1,1,0
"341","u",0,0,0,0
"342","2714",0,0,0,0
"343","s",0,0,0,0
"344","recomiendo",0,0,1,0
"345","este",0,0,0,0
"346","producto",0,0,0,0
"347","se",0,0,0,0
"348","puede",0,0,0,0
"349","instalar",0,0,0,0
"350","muy",1,0,0,0
"351","r",0,0,0,0
"352","pido",0,0,0,0
"353","y",0,0,0,0
"354","f",0,0,0,0
"355","cil",0,0,0,0
"356","he",0,0,0,0
"357","visto",0,0,0,0
"358","rese",0,0,0,0
"359","as",0,1,0,0
"360","a",0,0,0,0
"361","las",0,0,0,0
"362","cuales",0,0,0,0
"363","el",0,0,0,0
"364","cable",0,0,0,0
"365","usb",0,0,0,0
"366","no",0,0,0,0
"367","ven",0,0,0,0
"368","a",0,0,0,0
"369","en",0,0,0,0
"370","la",0,0,0,0
"371","caja",0,0,0,0
"372","en",0,0,0,0
"373","mi",0,0,0,0
"374","caso",1,0,0,0
"375","si",0,0,0,0
"376","as",0,1,0,0
"377","que",0,0,0,0
"378","no",0,0,0,0
"379","fue",0,0,0,0
"380","necesario",1,0,0,0
"381","comprar",0,0,0,0
"382","1",0,0,0,0
"383","llevo",0,0,0,0
"384","us",0,0,0,0
"385","ndola",0,0,0,0
"386","como",0,0,0,0
"387","1",0,0,0,0
"388","mes",0,0,0,0
"389","y",0,0,0,0
"390","funciona",0,0,0,0
"391","genial",0,1,1,0
"392","u",0,0,0,0
"393","2714",0,0,0,0
"394","s",0,0,0,0
"395","recomiendo",0,0,1,0
"396","este",0,0,0,0
"397","producto",0,0,0,0
"398","se",0,0,0,0
"399","queda",0,0,0,0
"400","pegada",0,0,0,0
"401","cada",0,0,0,0
"402","vez",0,0,0,0
"403","que",0,0,0,0
"404","imprimo",0,0,0,0
"405","algo",0,0,0,0
"406","tengo",0,0,0,0
"407","que",0,0,0,0
"408","acomodar",0,0,0,0
"409","la",0,0,0,0
"410","hoja",0,0,0,0
"411","para",0,0,0,0
"412","imprimir",0,0,0,0
"413","y",0,0,0,0
"414","la",0,0,0,0
"415","tinta",0,0,0,0
"416","del",0,0,0,0
"417","mismo",0,0,0,0
"418","papel",0,0,0,0
"419","recien",0,0,0,0
"420","imprimido",0,0,0,0
"421","se",0,0,0,0
"422","corre",0,0,0,0
"423","lo",0,0,0,0
"424","adquiri",0,0,0,0
"425","hace",0,0,0,0
"426","poco",0,0,0,0
"427","y",0,0,0,0
"428","es",0,0,0,0
"429","un",0,0,0,0
"430","excelente",0,1,0,0
"431","producto",0,0,0,0
"432","el",0,0,0,0
"433","sonido",0,0,0,0
"434","es",0,0,0,0
"435","de",0,0,0,0
"436","muy",1,0,0,0
"437","buena",0,0,1,0
"438","calidad",0,0,0,0
"439","se",0,0,0,0
"440","escucha",0,0,0,0
"441","genial",0,1,1,0
"442","el",0,0,0,0
"443","bajo",0,0,0,0
"444","lo",0,0,0,0
"445","recomiendo",0,0,1,0
"446","totalmente",0,0,0,0
"447","el",0,0,0,0
"448","precio",0,0,0,0
"449","es",0,0,0,0
"450","excesible",0,0,0,0
"451","a",0,0,0,0
"452","comparacion",0,0,0,0
"453","de",0,0,0,0
"454","otros",0,0,0,0
"455","audifonos",0,0,0,0
"456","se",0,0,0,0
"457","puede",0,0,0,0
"458","llevar",0,0,0,0
"459","a",0,0,0,0
"460","todos",0,0,0,0
"461","lados",0,0,0,0
"462","donde",0,0,0,0
"463","quieras",0,0,0,0
"464","se",0,0,0,0
"465","ajusta",0,0,0,0
"466","super",0,0,1,0
"467","al",0,0,0,0
"468","oido",0,0,0,0
"469","y",0,0,0,0
"470","muy",1,0,0,0
"471","livianos",0,0,0,0
"472","muy",1,0,0,0
"473","satisfecha",0,0,1,0
"474","mi",0,0,0,0
"475","compra",0,0,0,0
"476","u",0,0,0,0
"477","2714",0,0,0,0
"478","s",0,0,0,0
"479","recomiendo",0,0,1,0
"480","este",0,0,0,0
"481","producto",0,0,0,0
"482","los",0,0,0,0
"483","compre",0,0,0,0
"484","seg",0,0,0,0
"485","n",0,0,0,0
"486","la",0,0,0,0
"487","tabla",0,0,0,0
"488","de",0,0,0,0
"489","tallas",0,0,0,0
"490","y",0,0,0,0
"491","todo",0,0,0,0
"492","perfecto",0,1,1,0
"493","se",0,0,0,0
"494","ven",0,0,0,0
"495","muy",1,0,0,0
"496","bonitos",0,0,1,0
"497","u",0,0,0,0
"498","2714",0,0,0,0
"499","s",0,0,0,0
"500","recomiendo",0,0,1,0
"501","este",0,0,0,0
"502","producto",0,0,0,0
"503","es",0,0,0,0
"504","f",0,0,0,0
"505","cil",0,0,0,0
"506","de",0,0,0,0
"507","transportar",0,0,0,0
"508","y",0,0,0,0
"509","es",0,0,0,0
"510","muy",1,0,0,0
"511","c",0,0,0,0
"512","moda",0,0,0,0
"513","y",0,0,0,0
"514","firme",0,2,0,0
"515","buenisima",0,0,1,0
"516","u",0,0,0,0
"517","2714",0,0,0,0
"518","s",0,0,0,0
"519","recomiendo",0,0,1,0
"520","este",0,0,0,0
"521","producto",0,0,0,0
"522","me",0,0,0,0
"523","gui",0,0,0,0
"524","x",0,0,0,0
"525","los",0,0,0,0
"526","comentarios",0,0,0,0
"527","soy",0,0,0,0
"528","talla",0,0,0,0
"529","38",0,0,0,0
"530","sybilla",0,0,0,0
"531","y",0,0,0,0
"532","compre",0,0,0,0
"533","36",0,0,0,0
"534","y",0,0,0,0
"535","quedaron",0,0,0,0
"536","perfectos",0,0,1,0
"537","muy",1,0,0,0
"538","bonitos",0,0,1,0
"539","u",0,0,0,0
"540","2714",0,0,0,0
"541","s",0,0,0,0
"542","recomiendo",0,0,1,0
"543","este",0,0,0,0
"544","producto",0,0,0,0
"545","producto",0,0,0,0
"546","de",0,0,0,0
"547","f",0,0,0,0
"548","cil",0,0,0,0
"549","uso",0,0,0,0
"550","se",0,0,0,0
"551","puede",0,0,0,0
"552","hacer",0,1,0,0
"553","el",0,0,0,0
"554","pan",1,0,0,0
"555","con",0,0,0,0
"556","el",0,0,0,0
"557","proceso",0,0,0,0
"558","completo",0,1,1,0
"559","o",0,0,0,0
"560","parte",0,0,0,0
"561","de",0,0,0,0
"562","ellos",0,0,0,0
"563","es",0,0,0,0
"564","decir",0,0,0,0
"565","solo",0,0,0,0
"566","la",0,0,0,0
"567","masa",0,0,0,0
"568","o",0,0,0,0
"569","solo",0,0,0,0
"570","hornear",0,0,0,0
"571","la",0,0,0,0
"572","masa",0,0,0,0
"573","se",0,0,0,0
"574","puede",0,0,0,0
"575","hacer",0,1,0,0
"576","queques",0,0,0,0
"577","y",0,0,0,0
"578","mermeladas",0,0,0,0
"579","el",0,0,0,0
"580","manual",0,0,0,0
"581","es",0,0,0,0
"582","claro",0,0,0,0
"583","y",0,0,0,0
"584","el",0,0,0,0
"585","pan",1,0,0,0
"586","se",0,0,0,0
"587","hace",0,0,0,0
"588","pr",0,0,0,0
"589","cticamente",0,0,0,0
"590","solo",0,0,0,0
"591","el",0,0,0,0
"592","pan",1,0,0,0
"593","queda",0,0,0,0
"594","fabuloso",0,0,1,0
"595","u",0,0,0,0
"596","2714",0,0,0,0
"597","s",0,0,0,0
"598","recomiendo",0,0,1,0
"599","este",0,0,0,0
"600","producto",0,0,0,0
"601","excelente",0,1,1,0
"602","tinta",0,0,0,0
"603","dura",0,0,0,0
"604","mucho",0,0,0,0
"605","y",0,0,0,0
"606","wifi",0,0,0,0
"607","funciona",0,0,0,0
"608","perfecto",0,1,1,0
"609","en",0,0,0,0
"610","computadores",0,0,0,0
"611","mac",0,0,0,0
"612","hay",0,0,0,0
"613","que",0,0,0,0
"614","estar",0,0,0,0
"615","actualiz",0,0,0,0
"616","ndola",0,0,0,0
"617","constantemente",0,0,0,0
"618","queda",0,0,0,0
"619","muy",1,0,0,0
"620","bien",0,0,1,0
"621","ped",0,0,0,0
"622","un",0,0,0,0
"623","36",0,0,0,0
"624","como",0,0,0,0
"625","otro",0,0,0,0
"626","modelo",0,1,0,0
"627","de",0,0,0,0
"628","esta",0,0,0,0
"629","marca",0,0,0,0
"630","que",0,0,0,0
"631","tengo",0,0,0,0
"632","y",0,0,0,0
"633","me",0,0,0,0
"634","qued",0,0,0,0
"635","perfecto",0,1,0,0
"636","la",0,0,0,0
"637","tela",0,0,0,0
"638","es",0,0,0,0
"639","elasticada",0,0,0,0
"640","y",0,0,0,0
"641","se",0,0,0,0
"642","adapta",0,0,1,0
"643","muy",1,0,0,0
"644","bien",0,0,1,0
"645","al",0,0,0,0
"646","cuerpo",0,0,0,0
"647","calce",0,0,0,0
"648","muy",1,0,0,0
"649","bonito",0,0,1,0
"650","u",0,0,0,0
"651","2714",0,0,0,0
"652","s",0,0,0,0
"653","recomiendo",0,0,1,0
"654","este",0,0,0,0
"655","producto",0,0,0,0
"656","cumpli",0,0,1,0
"657","mis",0,0,0,0
"658","expectativas",0,0,0,0
"659","u",0,0,0,0
"660","2714",0,0,0,0
"661","s",0,0,0,0
"662","recomiendo",0,0,1,0
"663","este",0,0,0,0
"664","producto",0,0,0,0
"665","publicada",0,0,0,0
"666","originalmente",0,0,0,0
"667","en",0,0,0,0
"668","sodimac.cl",0,0,0,0
"669","si",0,0,0,0
"670","totalmente",0,0,0,0
"671","el",0,0,0,0
"672","depto",0,0,0,0
"673","no",0,0,0,0
"674","tenia",0,0,0,0
"675","horno",0,0,0,0
"676","y",0,0,0,0
"677","este",0,0,0,0
"678","fue",0,0,0,0
"679","una",0,0,0,0
"680","soluci",0,0,0,0
"681","n",0,0,0,0
"682","perfecta",0,0,1,0
"683","que",0,0,0,0
"684","hace",0,0,0,0
"685","mi",0,0,0,0
"686","cocina",0,0,0,0
"687","completa",0,0,1,0
"688","u",0,0,0,0
"689","2714",0,0,0,0
"690","s",0,0,0,0
"691","recomiendo",0,0,1,0
"692","este",0,0,0,0
"693","producto",0,0,0,0
"694","publicada",0,0,0,0
"695","originalmente",0,0,0,0
"696","en",0,0,0,0
"697","sodimac.cl",0,0,0,0
"698","es",0,0,0,0
"699","una",0,0,0,0
"700","cama",0,0,0,0
"701","muy",1,0,0,0
"702","dura",0,0,0,0
"703","se",0,0,0,0
"704","supone",0,0,0,0
"705","que",0,0,0,0
"706","al",0,0,0,0
"707","acostumbrarse",0,0,0,0
"708","el",0,0,0,0
"709","colch",0,0,0,0
"710","n",0,0,0,0
"711","al",0,0,0,0
"712","cuerpo",0,0,0,0
"713","mejorar",0,4,0,0
"714","a",0,0,0,0
"715","pero",0,0,0,0
"716","al",0,0,0,0
"717","pasar",0,0,0,0
"718","los",0,0,0,0
"719","meses",0,0,0,0
"720","nada",1,0,0,1
"721","ha",0,0,0,0
"722","cambiado",0,0,0,0
"723","suena",0,0,0,0
"724","mucho",0,0,0,0
"725","desde",0,0,0,0
"726","el",0,0,0,0
"727","primer",0,0,0,0
"728","d",0,0,0,0
"729","a",0,0,0,0
"730","para",0,0,0,0
"731","nada",1,0,0,1
"732","recomendable",0,1,1,0
"733","la",0,0,0,0
"734","compre",0,0,0,0
"735","a",0,0,0,0
"736","fines",0,0,0,0
"737","del",0,0,0,0
"738","2017",0,0,0,0
"739","tuvo",0,0,0,0
"740","un",0,0,0,0
"741","uso",0,0,0,0
"742","regular",0,1,1,0
"743","en",0,0,0,0
"744","verano",0,0,0,0
"745","fue",0,0,0,0
"746","la",0,0,0,0
"747","temporada",0,0,0,0
"748","que",0,0,0,0
"749","mas",0,0,0,0
"750","se",0,0,0,0
"751","uso",0,0,0,0
"752","y",0,0,0,0
"753","bueno",0,3,1,0
"754","lo",0,0,0,0
"755","que",0,0,0,0
"756","se",0,0,0,0
"757","echo",0,0,0,0
"758","a",0,0,0,0
"759","perder",4,0,0,1
"760","es",0,0,0,0
"761","la",0,0,0,0
"762","base",0,0,0,0
"763","de",0,0,0,0
"764","cuchillas",0,0,0,0
"765","que",0,0,0,0
"766","empezo",0,0,0,0
"767","a",0,0,0,0
"768","filtar",0,0,0,0
"769","el",0,0,0,0
"770","l",0,0,0,0
"771","quido",0,0,0,0
"772","la",0,0,0,0
"773","compre",0,0,0,0
"774","en",0,0,0,0
"775","19",0,0,0,0
"776","y",0,0,0,0
"777","creo",0,0,0,0
"778","que",0,0,0,0
"779","no",0,0,0,0
"780","se",0,0,0,0
"781","le",0,0,0,0
"782","podr",0,0,0,0
"783","a",0,0,0,0
"784","exigir",0,0,0,0
"785","m",0,0,0,0
"786","s",0,0,0,0
"787","probar",0,0,0,0
"788","otra",0,0,0,0
"789","marca",0,0,0,0
"790","porque",0,0,0,0
"791","finalmente",0,1,0,0
"792","es",0,0,0,0
"793","muy",1,0,0,0
"794","pr",0,0,0,0
"795","ctica",0,0,0,0
"796","para",0,0,0,0
"797","los",0,0,0,0
"798","batidos",0,0,0,0
"799","indoviduales",0,0,0,0
"800","excelente",0,1,1,0
"801","cama",0,0,0,0
"802","buena",0,0,1,0
"803","relaci",0,0,0,0
"804","n",0,0,0,0
"805","precio",0,0,0,0
"806","calidad",0,0,0,0
"807","s",0,0,0,0
"808","per",0,0,0,0
"809","resistente",1,2,1,0
"810","y",0,0,0,0
"811","confortable",0,0,1,0
"812","compr",0,0,0,0
"813","la",0,0,0,0
"814","cama",0,0,0,0
"815","hace",0,0,0,0
"816","aproximadamente",0,0,0,0
"817","un",0,0,0,0
"818","mes",0,0,0,0
"819","de",0,0,0,0
"820","verdad",0,1,0,0
"821","super",0,0,0,0
"822","mis",0,0,0,0
"823","expectativas",0,0,0,0
"824","bastante",0,1,1,0
"825","c",0,0,0,0
"826","modo",0,0,0,0
"827","el",0,0,0,0
"828","colch",0,0,0,0
"829","n",0,0,0,0
"830","excelente",0,1,0,0
"831","calidad",0,0,0,0
"832","de",0,0,0,0
"833","la",0,0,0,0
"834","base",0,0,0,0
"835","el",0,0,0,0
"836","respaldo",0,0,0,0
"837","y",0,0,0,0
"838","los",0,0,0,0
"839","veladores",0,0,0,0
"840","totalmente",0,0,0,0
"841","recomendado",0,0,1,0
"842","deja",0,0,0,0
"843","un",0,0,0,0
"844","comentario",0,0,0,0
"845","utilizando",0,0,0,0
"846","un",0,0,0,0
"847","lenguaje",0,0,0,0
"848","claro",0,0,0,0
"849","simple",0,0,0,0
"850","y",0,0,0,0
"851","apropiado",0,1,0,0
"852","enf",0,0,0,0
"853","cate",0,0,0,0
"854","solo",0,0,0,0
"855","en",0,0,0,0
"856","el",0,0,0,0
"857","producto",0,0,0,0
"858","y",0,0,0,0
"859","cu",0,0,0,0
"860","ntanos",0,0,0,0
"861","qu",0,0,0,0
"862","te",0,0,0,0
"863","pareci",0,0,0,0
"864","y",0,0,0,0
"865","para",0,0,0,0
"866","qu",0,0,0,0
"867","lo",0,0,0,0
"868","usas",0,0,0,0
"869","sin",0,0,0,0
"870","problemas",0,0,0,1
"871","con",0,0,0,0
"872","el",0,0,0,0
"873","horno",0,0,0,0
"874","hasta",0,0,0,0
"875","el",0,0,0,0
"876","momento",0,0,0,0
"877","1",0,0,0,0
"878","mes",0,0,0,0
"879","aprox",0,0,0,0
"880","de",0,0,0,0
"881","uso",0,0,0,0
"882","u",0,0,0,0
"883","2714",0,0,0,0
"884","s",0,0,0,0
"885","recomiendo",0,0,1,0
"886","este",0,0,0,0
"887","producto",0,0,0,0
"888","publicada",0,0,0,0
"889","originalmente",0,0,0,0
"890","en",0,0,0,0
"891","sodimac.cl",0,0,0,0
"892","pens",0,0,0,0
"893","que",0,0,0,0
"894","era",0,0,0,0
"895","porque",0,0,0,0
"896","estaba",0,0,0,0
"897","nueva",0,0,0,0
"898","pero",0,0,0,0
"899","no",0,0,0,0
"900","el",0,0,0,0
"901","nivel",0,1,0,0
"902","de",0,0,0,0
"903","firmeza",0,1,0,1
"904","es",0,0,0,0
"905","firme",0,2,0,1
"906","quiere",0,0,0,0
"907","decir",0,0,0,0
"908","que",0,0,0,0
"909","es",0,0,0,0
"910","muy",1,0,0,0
"911","r",0,0,0,0
"912","gido",0,0,0,0
"913","y",0,0,0,0
"914","duro",1,0,0,1
"915","para",0,0,0,0
"916","dormir",0,0,0,0
"917","amanezco",0,0,0,0
"918","peor",1,0,0,1
"919","de",0,0,0,0
"920","como",0,0,0,0
"921","me",0,0,0,0
"922","acuesto",0,0,0,0
"923","la",0,0,0,0
"924","dej",0,0,0,0
"925","en",0,0,0,0
"926","la",0,0,0,0
"927","casa",0,1,0,0
"928","de",0,0,0,0
"929","campo",0,0,0,0
"930","porque",0,0,0,0
"931","no",0,0,0,0
"932","se",0,0,0,0
"933","pod",0,0,0,0
"934","a",0,0,0,0
"935","usar",0,0,0,0
"936","bonitas",0,0,1,0
"937","las",0,0,0,0
"938","maderas",0,0,0,0
"939","buena",0,0,0,0
"940","opci",0,0,0,0
"941","n",0,0,0,0
"942","de",0,0,0,0
"943","altura",0,0,0,0
"944","de",0,0,0,0
"945","la",0,0,0,0
"946","base",0,0,0,0
"947","colch",0,0,0,0
"948","n",0,0,0,0
"949","duro",1,0,0,1
"950","me",0,0,0,0
"951","arrepent",0,0,0,0
"952","de",0,0,0,0
"953","comprarlo",0,0,0,0
"954","primera",0,0,0,0
"955","noche",0,0,0,0
"956","en",0,0,0,0
"957","el",0,0,0,0
"958","y",0,0,0,0
"959","fue",0,0,0,0
"960","dormir",0,0,0,0
"961","en",0,0,0,0
"962","el",0,0,0,0
"963","suelo",1,0,0,1
"964","no",0,0,0,0
"965","lo",0,0,0,0
"966","recomiendo",0,0,1,0
"967","en",0,0,0,0
"968","realidad",0,0,0,0
"969","mejor",0,0,0,0
"970","gastarse",0,0,0,0
"971","un",0,0,0,0
"972","poco",0,0,0,0
"973","mas",0,0,0,0
"974","y",0,0,0,0
"975","tener",0,0,0,0
"976","un",0,0,0,0
"977","descanso",0,0,0,0
"978","optimo",0,0,0,0
"979","p",0,0,0,0
"980","sima",0,0,0,0
"981","elecci",0,0,0,0
"982","n",0,0,0,0
"983","por",0,0,0,0
"984","ahorrarse",0,0,0,0
"985","unas",0,0,0,0
"986","lucas",0,0,0,0
"987","es",0,0,0,0
"988","un",0,0,0,0
"989","computador",0,0,0,0
"990","muy",1,0,0,0
"991","amigable",0,0,1,0
"992","y",0,0,0,0
"993","moderno",0,0,1,0
"994","ideal",0,0,1,0
"995","para",0,0,0,0
"996","mi",0,0,0,0
"997","hija",0,1,0,0
"998","logra",0,0,0,0
